1	0	0
-0.000280671	22	0
-5.39934e-05	23	0
-0.000967364	24	0
0.000236155	25	0
2.36934e-05	26	0
0.000274844	27	0
-0.000190447	28	0
9.88797e-05	29	0
1.46682e-05	30	0
-2.32443e-05	31	0
1.71433e-05	32	0
-0.000561952	33	0
0.000162892	34	0
6.14767e-05	35	0
-0.000437309	36	0
0.000122065	37	0
-2.73387e-05	38	0
-2.37914e-05	39	0
1	1	1
-0.00125898	22	1
-0.00109985	23	1
-0.00559181	24	1
-0.00235569	25	1
-0.00201809	26	1
-0.0035903	27	1
-0.00258248	28	1
-0.0015382	29	1
-0.00137116	30	1
-0.000219909	31	1
-0.000484046	32	1
-0.00166233	33	1
-0.00337485	34	1
-0.00212965	35	1
-0.00171649	36	1
-0.00345021	37	1
-0.00045576	38	1
0.000123106	39	1
1	2	2
-0.000531451	22	2
-0.00243652	23	2
-0.00268816	24	2
-0.00455751	25	2
-0.00447646	26	2
-0.010816	27	2
-0.00728362	28	2
-0.00503887	29	2
-0.00616351	30	2
-0.00339033	31	2
-0.00195583	32	2
-0.00435498	33	2
-0.00263888	34	2
-0.00508938	35	2
-0.00286438	36	2
-0.00195932	37	2
-0.00125424	38	2
-0.00122303	39	2
1	3	3
-0.00435107	22	3
-0.00392951	23	3
-0.00783204	24	3
-0.0130135	25	3
-0.0119529	26	3
-0.00590467	27	3
-0.0128442	28	3
-0.00769359	29	3
-0.00405398	30	3
-0.00375536	31	3
-0.00545295	32	3
-0.00730408	33	3
-0.00445857	34	3
-0.00735444	35	3
-0.00383221	36	3
-0.000990904	37	3
-0.00345605	38	3
-0.00175376	39	3
1	4	4
-0.00490569	22	4
-0.0065247	23	4
-0.013718	24	4
-0.0128625	25	4
-0.0172794	26	4
-0.0143821	27	4
-0.0188414	28	4
-0.0208606	29	4
-0.00546943	30	4
-0.00620457	31	4
-0.0087748	32	4
-0.0087553	33	4
-0.0123349	34	4
-0.00781469	35	4
-0.00537015	36	4
-0.00313317	37	4
-0.00485139	38	4
-0.00218509	39	4
1	5	5
-0.00553545	22	5
-0.00943656	23	5
-0.0166378	24	5
-0.0124988	25	5
-0.0235039	26	5
-0.0220632	27	5
-0.0202684	28	5
-0.0143698	29	5
-0.0105703	30	5
-0.00730336	31	5
-0.0178284	32	5
-0.0154501	33	5
-0.0205416	34	5
-0.0186458	35	5
-0.00704151	36	5
-0.00837464	37	5
-0.00373544	38	5
-0.00309301	39	5
1	6	6
-0.0064253	22	6
-0.0111017	23	6
-0.0174425	24	6
-0.0216654	25	6
-0.030012	26	6
-0.0299723	27	6
-0.0313284	28	6
-0.0396968	29	6
-0.0117822	30	6
-0.0162785	31	6
-0.0240132	32	6
-0.023553	33	6
-0.0195216	34	6
-0.0195896	35	6
-0.015194	36	6
-0.0158652	37	6
-0.00437186	38	6
-0.0017245	39	6
1	7	7
-0.0119441	22	7
-0.0155381	23	7
-0.0236269	24	7
-0.0427038	25	7
-0.0280638	26	7
-0.0493951	27	7
-0.0547626	28	7
-0.0438905	29	7
-0.0275878	30	7
-0.0288536	31	7
-0.0365838	32	7
-0.0273343	33	7
-0.0361457	34	7
-0.0270966	35	7
-0.0197652	36	7
-0.0114249	37	7
-0.00608115	38	7
-0.00458402	39	7
1	8	8
-0.00702051	22	8
-0.0237954	23	8
-0.0233785	24	8
-0.0363391	25	8
-0.0581523	26	8
-0.058426	27	8
-0.0618371	28	8
-0.0764015	29	8
-0.069016	30	8
-0.0553251	31	8
-0.061671	32	8
-0.0556824	33	8
-0.034533	34	8
-0.0243477	35	8
-0.0172977	36	8
-0.0112295	37	8
-0.00614821	38	8
-0.00257987	39	8
1	9	9
-0.0093896	22	9
-0.0282586	23	9
-0.0192782	24	9
-0.0418977	25	9
-0.0622025	26	9
-0.0716781	27	9
-0.107483	28	9
-0.111101	29	9
-0.165134	30	9
-0.161312	31	9
-0.10374	32	9
-0.0646181	33	9
-0.0557287	34	9
-0.0337518	35	9
-0.0182993	36	9
-0.0171453	37	9
-0.00590564	38	9
-0.00606625	39	9
-0.00423644	1	10
-0.0146576	2	10
-0.0213736	3	10
-0.0338916	4	10
-0.0489556	5	10
-0.0724644	6	10
-0.10617	7	10
-0.155039	8	10
-0.296604	9	10
1	10	10
-0.289191	11	10
-0.162319	12	10
-0.0780627	13	10
-0.058922	14	10
-0.036637	15	10
-0.0274112	16	10
-0.0169344	17	10
-0.0155428	18	10
-0.00777285	19	10
-0.0132181	22	10
-0.0244053	23	10
-0.0273593	24	10
-0.0441108	25	10
-0.0575354	26	10
-0.0706949	27	10
-0.111633	28	10
-0.172797	29	10
-0.331484	30	10
-0.268449	31	10
-0.123639	32	10
-0.0767208	33	10
-0.0579396	34	10
-0.029172	35	10
-0.024398	36	10
-0.0169425	37	10
-0.00719319	38	10
-0.00554481	39	10
1	11	11
-0.014354	22	11
-0.0158135	23	11
-0.0330094	24	11
-0.0449282	25	11
-0.0617743	26	11
-0.0702398	27	11
-0.0827445	28	11
-0.113247	29	11
-0.160285	30	11
-0.159672	31	11
-0.105399	32	11
-0.0827431	33	11
-0.0369993	34	11
-0.0397308	35	11
-0.0283448	36	11
-0.0242209	37	11
-0.00640885	38	11
-0.00382764	39	11
1	12	12
-0.00783378	22	12
-0.0176235	23	12
-0.0330298	24	12
-0.0428163	25	12
-0.0371352	26	12
-0.0711936	27	12
-0.064516	28	12
-0.0739479	29	12
-0.0487805	30	12
-0.060651	31	12
-0.0657647	32	12
-0.0539477	33	12
-0.0399788	34	12
-0.0364762	35	12
-0.0194761	36	12
-0.00988346	37	12
-0.00938729	38	12
-0.00339183	39	12
1	13	13
-0.00880295	22	13
-0.0202126	23	13
-0.025158	24	13
-0.0343058	25	13
-0.0305311	26	13
-0.0439924	27	13
-0.0278852	28	13
-0.048049	29	13
-0.0312138	30	13
-0.0297911	31	13
-0.0299806	32	13
-0.0346921	33	13
-0.0245188	34	13
-0.027693	35	13
-0.020968	36	13
-0.011964	37	13
-0.00839852	38	13
-0.00274331	39	13
1	14	14
-0.0100435	22	14
-0.0109924	23	14
-0.0176757	24	14
-0.020342	25	14
-0.0247891	26	14
-0.0377121	27	14
-0.0362163	28	14
-0.0249623	29	14
-0.00936651	30	14
-0.00737387	31	14
-0.028199	32	14
-0.017552	33	14
-0.020067	34	14
-0.0166474	35	14
-0.015819	36	14
-0.0114843	37	14
-0.0055006	38	14
-0.00188225	39	14
1	15	15
-0.00385869	22	15
-0.015572	23	15
-0.0126105	24	15
-0.0218804	25	15
-0.0252221	26	15
-0.0225607	27	15
-0.0175717	28	15
-0.0186013	29	15
-0.00922821	30	15
-0.0070141	31	15
-0.0162728	32	15
-0.0209719	33	15
-0.0138549	34	15
-0.00861358	35	15
-0.0079663	36	15
-0.00763299	37	15
-0.00473553	38	15
-0.00240835	39	15
1	16	16
-0.0036116	22	16
-0.00997693	23	16
-0.00782508	24	16
-0.013025	25	16
-0.0220308	26	16
-0.0196862	27	16
-0.0210583	28	16
-0.0108337	29	16
-0.00204045	30	16
-0.00543225	31	16
-0.0105605	32	16
-0.0119226	33	16
-0.0103057	34	16
-0.00904774	35	16
-0.003608	36	16
-0.00465538	37	16
-0.00631781	38	16
-0.00297537	39	16
1	17	17
-0.0034957	22	17
-0.0034777	23	17
-0.00730949	24	17
-0.00833634	25	17
-0.0169519	26	17
-0.00750168	27	17
-0.0083987	28	17
-0.00160983	29	17
-0.00546185	30	17
-0.00339835	31	17
-0.00765952	32	17
-0.00209812	33	17
-0.00538024	34	17
-0.00687964	35	17
-0.00470501	36	17
-0.00254786	37	17
-0.00162177	38	17
-0.000526182	39	17
1	18	18
-0.00418351	22	18
-0.000392911	23	18
-0.00133348	24	18
-0.00338097	25	18
-0.0105376	26	18
-0.00220421	27	18
-0.000844217	28	18
-0.00953871	29	18
-0.00246179	30	18
-0.000123467	31	18
-0.00270238	32	18
-0.0011187	33	18
-0.00594999	34	18
-0.00135368	35	18
-0.00523159	36	18
-0.00479011	37	18
-0.000584645	38	18
-0.00125312	39	18
1	19	19
-0.00153647	22	19
-0.000418922	23	19
-0.00540376	24	19
-0.000452372	25	19
0.000461735	26	19
-0.00025655	27	19
-0.00162049	28	19
-0.00303853	29	19
-0.00130807	30	19
-0.000182878	31	19
-0.00050986	32	19
-0.00303907	33	19
-0.00125461	34	19
-0.00142749	35	19
-0.00364821	36	19
-0.000938934	37	19
-0.0009239	38	19
0.000227062	39	19
1	20	20
-0.000555675	22	20
9.23052e-05	23	20
-0.00110944	24	20
6.50434e-05	25	20
-0.000101422	26	20
5.39411e-05	27	20
-9.71492e-05	28	20
0.000231854	29	20
-0.000133383	30	20
8.4944e-05	31	20
8.43272e-05	32	20
-3.84116e-05	33	20
8.46097e-05	34	20
-0.00022186	35	20
3.69279e-05	36	20
-3.0609e-05	37	20
4.81975e-05	38	20
-4.1487e-05	39	20
-7.42851e-05	1	21
7.40229e-05	2	21
0.000106414	3	21
0.000125352	4	21
-0.000139715	5	21
-0.000324218	6	21
-6.6668e-06	7	21
-0.000326873	8	21
-2.55443e-06	9	21
-2.81556e-05	11	21
0.000117126	12	21
0.000133822	13	21
-6.15033e-05	14	21
-7.26594e-06	15	21
3.21133e-05	16	21
-0.000232591	17	21
-0.000210457	18	21
-3.41579e-05	19	21
1	21	21
-0.00103467	1	22
-0.00154089	2	22
-0.00220505	3	22
-0.00243424	4	22
-0.000973502	5	22
-0.000996237	6	22
-0.000931407	7	22
-0.00132157	8	22
-0.00080427	9	22
8.11713e-05	11	22
-0.002625	12	22
-0.00131576	13	22
-0.00104178	14	22
-0.00150851	15	22
-0.000747881	16	22
-0.00128355	17	22
-0.00199807	18	22
0.000172808	19	22
