0.000000,0.000000,0.977294
0.000000,0.033333,1.013490
0.000000,0.066667,1.062712
0.000000,0.100000,1.093643
0.000000,0.133333,1.137225
0.000000,0.166667,1.155507
0.000000,0.200000,1.193602
0.000000,0.233333,1.195056
0.000000,0.266667,1.239080
0.000000,0.300000,1.254347
0.000000,0.333333,1.231862
0.000000,0.366667,1.221983
0.000000,0.400000,1.209167
0.000000,0.433333,1.242409
0.000000,0.466667,1.190823
0.000000,0.500000,1.170936
0.000000,0.533333,1.137837
0.000000,0.566667,1.107472
0.000000,0.600000,1.094815
0.000000,0.633333,1.022021
0.000000,0.666667,0.999211
0.000000,0.700000,0.963676
0.000000,0.733333,0.944785
0.000000,0.766667,0.869376
0.000000,0.800000,0.827130
0.000000,0.833333,0.755887
0.000000,0.866667,0.710425
0.000000,0.900000,0.648901
0.000000,0.933333,0.576620
0.000000,0.966667,0.529479
0.000000,1.000000,0.476316
