index,x,y,sten
153,4.000,0.000,east
154,4.000,0.100,east
155,4.000,0.200,east
156,4.000,0.300,east
157,4.000,0.400,east
158,4.000,0.500,east
159,4.000,0.600,east
160,4.000,0.700,east
161,4.000,0.800,east
162,4.000,0.900,east
163,4.000,1.000,east
164,4.000,1.100,east
165,4.000,1.200,east
166,4.000,1.300,east
167,4.000,1.400,east
168,4.000,1.500,east
169,4.000,1.600,east
170,4.000,1.700,east
171,4.000,1.800,east
172,4.000,1.900,east
173,4.000,2.000,east
71,2.000,2.000,north
270,2.100,2.000,north
271,2.200,2.000,north
272,2.300,2.000,north
273,2.400,2.000,north
274,2.500,2.000,north
275,2.600,2.000,north
276,2.700,2.000,north
277,2.800,2.000,north
278,2.900,2.000,north
122,3.000,2.000,north
279,3.100,2.000,north
280,3.200,2.000,north
281,3.300,2.000,north
282,3.400,2.000,north
283,3.500,2.000,north
284,3.600,2.000,north
285,3.700,2.000,north
286,3.800,2.000,north
287,3.900,2.000,north
173,4.000,2.000,north
51,2.000,0.000,west
52,2.000,0.100,west
53,2.000,0.200,west
54,2.000,0.300,west
55,2.000,0.400,west
56,2.000,0.500,west
57,2.000,0.600,west
58,2.000,0.700,west
59,2.000,0.800,west
60,2.000,0.900,west
61,2.000,1.000,west
62,2.000,1.100,west
63,2.000,1.200,west
64,2.000,1.300,west
65,2.000,1.400,west
66,2.000,1.500,west
67,2.000,1.600,west
68,2.000,1.700,west
69,2.000,1.800,west
70,2.000,1.900,west
71,2.000,2.000,west
