index,x,y,sten
111,2.000,5.000,south
548,2.100,5.000,south
549,2.200,5.000,south
550,2.300,5.000,south
551,2.400,5.000,south
552,2.500,5.000,south
553,2.600,5.000,south
554,2.700,5.000,south
555,2.800,5.000,south
556,2.900,5.000,south
172,3.000,5.000,south
557,3.100,5.000,south
558,3.200,5.000,south
559,3.300,5.000,south
560,3.400,5.000,south
561,3.500,5.000,south
562,3.600,5.000,south
563,3.700,5.000,south
564,3.800,5.000,south
565,3.900,5.000,south
233,4.000,5.000,south
233,4.000,5.000,east
234,4.000,5.100,east
235,4.000,5.200,east
236,4.000,5.300,east
237,4.000,5.400,east
238,4.000,5.500,east
239,4.000,5.600,east
240,4.000,5.700,east
241,4.000,5.800,east
242,4.000,5.900,east
243,4.000,6.000,east
111,2.000,5.000,west
112,2.000,5.100,west
113,2.000,5.200,west
114,2.000,5.300,west
115,2.000,5.400,west
116,2.000,5.500,west
117,2.000,5.600,west
118,2.000,5.700,west
119,2.000,5.800,west
120,2.000,5.900,west
121,2.000,6.000,west
