index,x,y,sten
71,2.000,1.000,south
324,2.100,1.000,south
325,2.200,1.000,south
326,2.300,1.000,south
327,2.400,1.000,south
328,2.500,1.000,south
329,2.600,1.000,south
330,2.700,1.000,south
331,2.800,1.000,south
332,2.900,1.000,south
132,3.000,1.000,south
333,3.100,1.000,south
334,3.200,1.000,south
335,3.300,1.000,south
336,3.400,1.000,south
337,3.500,1.000,south
338,3.600,1.000,south
339,3.700,1.000,south
340,3.800,1.000,south
341,3.900,1.000,south
193,4.000,1.000,south
193,4.000,1.000,east
194,4.000,1.100,east
195,4.000,1.200,east
196,4.000,1.300,east
197,4.000,1.400,east
198,4.000,1.500,east
199,4.000,1.600,east
200,4.000,1.700,east
201,4.000,1.800,east
202,4.000,1.900,east
203,4.000,2.000,east
81,2.000,2.000,north
380,2.100,2.000,north
381,2.200,2.000,north
382,2.300,2.000,north
383,2.400,2.000,north
384,2.500,2.000,north
385,2.600,2.000,north
386,2.700,2.000,north
387,2.800,2.000,north
388,2.900,2.000,north
142,3.000,2.000,north
389,3.100,2.000,north
390,3.200,2.000,north
391,3.300,2.000,north
392,3.400,2.000,north
393,3.500,2.000,north
394,3.600,2.000,north
395,3.700,2.000,north
396,3.800,2.000,north
397,3.900,2.000,north
203,4.000,2.000,north
71,2.000,1.000,west
72,2.000,1.100,west
73,2.000,1.200,west
74,2.000,1.300,west
75,2.000,1.400,west
76,2.000,1.500,west
77,2.000,1.600,west
78,2.000,1.700,west
79,2.000,1.800,west
80,2.000,1.900,west
81,2.000,2.000,west
