index,x,y,sten
122,3.000,0.000,east
123,3.000,0.100,east
124,3.000,0.200,east
125,3.000,0.300,east
126,3.000,0.400,east
127,3.000,0.500,east
128,3.000,0.600,east
129,3.000,0.700,east
130,3.000,0.800,east
131,3.000,0.900,east
132,3.000,1.000,east
133,3.000,1.100,east
134,3.000,1.200,east
135,3.000,1.300,east
136,3.000,1.400,east
137,3.000,1.500,east
138,3.000,1.600,east
139,3.000,1.700,east
140,3.000,1.800,east
141,3.000,1.900,east
142,3.000,2.000,east
20,1.000,2.000,north
371,1.100,2.000,north
372,1.200,2.000,north
373,1.300,2.000,north
374,1.400,2.000,north
375,1.500,2.000,north
376,1.600,2.000,north
377,1.700,2.000,north
378,1.800,2.000,north
379,1.900,2.000,north
81,2.000,2.000,north
380,2.100,2.000,north
381,2.200,2.000,north
382,2.300,2.000,north
383,2.400,2.000,north
384,2.500,2.000,north
385,2.600,2.000,north
386,2.700,2.000,north
387,2.800,2.000,north
388,2.900,2.000,north
142,3.000,2.000,north
0,1.000,0.000,west
1,1.000,0.100,west
2,1.000,0.200,west
3,1.000,0.300,west
4,1.000,0.400,west
5,1.000,0.500,west
6,1.000,0.600,west
7,1.000,0.700,west
8,1.000,0.800,west
9,1.000,0.900,west
10,1.000,1.000,west
11,1.000,1.100,west
12,1.000,1.200,west
13,1.000,1.300,west
14,1.000,1.400,west
15,1.000,1.500,west
16,1.000,1.600,west
17,1.000,1.700,west
18,1.000,1.800,west
19,1.000,1.900,west
20,1.000,2.000,west
