index,x,y,sten
40,1.000,4.000,south
355,1.100,4.000,south
356,1.200,4.000,south
357,1.300,4.000,south
358,1.400,4.000,south
359,1.500,4.000,south
360,1.600,4.000,south
361,1.700,4.000,south
362,1.800,4.000,south
363,1.900,4.000,south
91,2.000,4.000,south
364,2.100,4.000,south
365,2.200,4.000,south
366,2.300,4.000,south
367,2.400,4.000,south
368,2.500,4.000,south
369,2.600,4.000,south
370,2.700,4.000,south
371,2.800,4.000,south
372,2.900,4.000,south
142,3.000,4.000,south
142,3.000,4.000,east
143,3.000,4.100,east
144,3.000,4.200,east
145,3.000,4.300,east
146,3.000,4.400,east
147,3.000,4.500,east
148,3.000,4.600,east
149,3.000,4.700,east
150,3.000,4.800,east
151,3.000,4.900,east
152,3.000,5.000,east
40,1.000,4.000,west
41,1.000,4.100,west
42,1.000,4.200,west
43,1.000,4.300,west
44,1.000,4.400,west
45,1.000,4.500,west
46,1.000,4.600,west
47,1.000,4.700,west
48,1.000,4.800,west
49,1.000,4.900,west
50,1.000,5.000,west
