index,x,y
112,2.999999,1.000000
232,3.100000,1.000000
233,3.200000,1.000000
234,3.300000,1.000000
235,3.400000,1.000000
236,3.500000,1.000000
237,3.599999,1.000000
238,3.699999,1.000000
239,3.799999,1.000000
240,3.899999,1.000000
163,3.999999,1.000000
163,3.999999,1.000000
241,4.100000,1.000000
242,4.200000,1.000000
243,4.300000,1.000000
244,4.400000,1.000000
245,4.500000,1.000000
246,4.599999,1.000000
247,4.699999,1.000000
248,4.799999,1.000000
249,4.899999,1.000000
250,4.999999,1.000000
153,4.000000,0.000000
154,4.000000,0.100000
155,4.000000,0.200000
156,4.000000,0.300000
157,4.000000,0.400000
158,4.000000,0.500000
159,4.000000,0.600000
160,4.000000,0.700000
161,4.000000,0.800000
162,4.000000,0.900000
163,3.999999,1.000000
163,3.999999,1.000000
164,4.000000,1.100000
165,4.000000,1.200000
166,4.000000,1.300000
167,4.000000,1.400000
168,4.000000,1.500000
169,4.000000,1.600000
170,4.000000,1.700000
171,4.000000,1.800000
172,4.000000,1.900000
173,3.999999,2.000000
