index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
377,1.104900e+02,9.658132e-01,4.419600e+04,6.771848e-03,-9.432986e-01,-9.149665e-01,8.158026e-03,1.011174e-03,-9.787263e-05,-9.787263e-05
378,1.295000e+02,1.201823e+00,5.180000e+04,8.553635e-03,-9.073757e-01,-8.557986e-01,7.588744e-03,1.391246e-03,-9.077208e-05,-9.077208e-05
379,1.376900e+02,1.163394e+00,5.507600e+04,8.995540e-03,-8.954780e-01,-8.688693e-01,9.449200e-03,2.142038e-03,-7.849323e-05,-7.849323e-05
380,1.440750e+02,1.399131e+00,5.763000e+04,1.018186e-02,-8.800546e-01,-8.265688e-01,9.129532e-03,2.580712e-03,-2.112871e-05,-2.112871e-05
381,1.364850e+02,1.351445e+00,5.459400e+04,1.041012e-02,-8.271862e-01,-8.142342e-01,9.273983e-03,3.453043e-03,-3.596767e-05,-3.596767e-05
382,1.067550e+02,1.056195e+00,4.270200e+04,8.780559e-03,-7.561746e-01,-7.169436e-01,6.243437e-03,3.724838e-03,1.982279e-05,1.982279e-05
383,5.864000e+01,7.117382e-01,2.345600e+04,5.747671e-03,-7.335979e-01,-6.947495e-01,3.737809e-03,2.594137e-03,1.480079e-05,1.480079e-05
384,5.292500e+01,6.877782e-01,2.117000e+04,1.943424e-03,-9.459629e-01,-8.826519e-01,1.743764e-03,3.885534e-04,2.870391e-05,2.870391e-05
385,1.005200e+02,9.043255e-01,4.020800e+04,2.988825e-03,-9.563440e-01,-8.764066e-01,2.790988e-03,4.855829e-04,-3.032366e-06,-3.032366e-06
386,1.277950e+02,1.227475e+00,5.111800e+04,3.189302e-03,-9.495550e-01,-8.537816e-01,2.775780e-03,5.559590e-04,-1.480393e-05,-1.480393e-05
387,1.445550e+02,1.217042e+00,5.782200e+04,3.036110e-03,-9.458989e-01,-8.615557e-01,3.029551e-03,6.980126e-04,-1.624227e-05,-1.624227e-05
388,1.500200e+02,1.378958e+00,6.000800e+04,3.165522e-03,-9.509557e-01,-8.557307e-01,3.043457e-03,6.157135e-04,-2.934788e-05,-2.934788e-05
389,1.441150e+02,1.308178e+00,5.764600e+04,2.845157e-03,-9.046503e-01,-7.744236e-01,2.276366e-03,9.606876e-04,-5.557548e-05,-5.557548e-05
390,9.867500e+01,8.910459e-01,3.947000e+04,1.800483e-03,-9.309244e-01,-8.383083e-01,2.286237e-03,5.256090e-04,-5.006453e-05,-5.006453e-05
391,5.909000e+01,6.819412e-01,2.363600e+04,8.987025e-04,-9.035942e-01,-8.378070e-01,1.263662e-03,2.732139e-04,-8.461483e-05,-8.461483e-05
392,5.750000e+01,7.378051e-01,2.300000e+04,6.726454e-03,-9.480925e-01,-9.257945e-01,5.372103e-03,1.692401e-03,-1.172754e-04,-1.172754e-04
