index,x,y,sten
473,0.000,4.000,south
474,0.100,4.000,south
475,0.200,4.000,south
476,0.300,4.000,south
477,0.400,4.000,south
478,0.500,4.000,south
479,0.600,4.000,south
480,0.700,4.000,south
481,0.800,4.000,south
482,0.900,4.000,south
40,1.000,4.000,south
483,1.100,4.000,south
484,1.200,4.000,south
485,1.300,4.000,south
486,1.400,4.000,south
487,1.500,4.000,south
488,1.600,4.000,south
489,1.700,4.000,south
490,1.800,4.000,south
491,1.900,4.000,south
101,2.000,4.000,south
101,2.000,4.000,east
102,2.000,4.100,east
103,2.000,4.200,east
104,2.000,4.300,east
105,2.000,4.400,east
106,2.000,4.500,east
107,2.000,4.600,east
108,2.000,4.700,east
109,2.000,4.800,east
110,2.000,4.900,east
111,2.000,5.000,east
112,2.000,5.100,east
113,2.000,5.200,east
114,2.000,5.300,east
115,2.000,5.400,east
116,2.000,5.500,east
117,2.000,5.600,east
118,2.000,5.700,east
119,2.000,5.800,east
120,2.000,5.900,east
121,2.000,6.000,east
