index,x,y
30,1.000000,2.999999
31,1.000000,3.100000
32,1.000000,3.200000
33,1.000000,3.300000
34,1.000000,3.400000
35,1.000000,3.500000
36,1.000000,3.599999
37,1.000000,3.699999
38,1.000000,3.799999
39,1.000000,3.899999
40,1.000000,3.999999
40,1.000000,3.999999
41,1.000000,4.100000
42,1.000000,4.200000
43,1.000000,4.300000
44,1.000000,4.400000
45,1.000000,4.500000
46,1.000000,4.599999
47,1.000000,4.699999
48,1.000000,4.799999
49,1.000000,4.899999
50,1.000000,4.999999
473,0.000000,4.000000
474,0.100000,4.000000
475,0.200000,4.000000
476,0.300000,4.000000
477,0.400000,4.000000
478,0.500000,4.000000
479,0.600000,4.000000
480,0.700000,4.000000
481,0.800000,4.000000
482,0.900000,4.000000
40,1.000000,3.999999
40,1.000000,3.999999
483,1.100000,4.000000
484,1.200000,4.000000
485,1.300000,4.000000
486,1.400000,4.000000
487,1.500000,4.000000
488,1.600000,4.000000
489,1.700000,4.000000
490,1.800000,4.000000
491,1.900000,4.000000
101,2.000000,3.999999
