index,x,y,sten
81,2.000,2.000,south
380,2.100,2.000,south
381,2.200,2.000,south
382,2.300,2.000,south
383,2.400,2.000,south
384,2.500,2.000,south
385,2.600,2.000,south
386,2.700,2.000,south
387,2.800,2.000,south
388,2.900,2.000,south
142,3.000,2.000,south
389,3.100,2.000,south
390,3.200,2.000,south
391,3.300,2.000,south
392,3.400,2.000,south
393,3.500,2.000,south
394,3.600,2.000,south
395,3.700,2.000,south
396,3.800,2.000,south
397,3.900,2.000,south
203,4.000,2.000,south
203,4.000,2.000,east
204,4.000,2.100,east
205,4.000,2.200,east
206,4.000,2.300,east
207,4.000,2.400,east
208,4.000,2.500,east
209,4.000,2.600,east
210,4.000,2.700,east
211,4.000,2.800,east
212,4.000,2.900,east
213,4.000,3.000,east
91,2.000,3.000,north
436,2.100,3.000,north
437,2.200,3.000,north
438,2.300,3.000,north
439,2.400,3.000,north
440,2.500,3.000,north
441,2.600,3.000,north
442,2.700,3.000,north
443,2.800,3.000,north
444,2.900,3.000,north
152,3.000,3.000,north
445,3.100,3.000,north
446,3.200,3.000,north
447,3.300,3.000,north
448,3.400,3.000,north
449,3.500,3.000,north
450,3.600,3.000,north
451,3.700,3.000,north
452,3.800,3.000,north
453,3.900,3.000,north
213,4.000,3.000,north
81,2.000,2.000,west
82,2.000,2.100,west
83,2.000,2.200,west
84,2.000,2.300,west
85,2.000,2.400,west
86,2.000,2.500,west
87,2.000,2.600,west
88,2.000,2.700,west
89,2.000,2.800,west
90,2.000,2.900,west
91,2.000,3.000,west
