index,x,y
142,2.999999,2.000000
389,3.100000,2.000000
390,3.200000,2.000000
391,3.300000,2.000000
392,3.400000,2.000000
393,3.500000,2.000000
394,3.599999,2.000000
395,3.699999,2.000000
396,3.799999,2.000000
397,3.899999,2.000000
203,3.999999,2.000000
203,3.999999,2.000000
398,4.100000,2.000000
399,4.200000,2.000000
400,4.300000,2.000000
401,4.400000,2.000000
402,4.500000,2.000000
403,4.599999,2.000000
404,4.699999,2.000000
405,4.799999,2.000000
406,4.899999,2.000000
264,4.999999,2.000000
193,3.999999,1.000000
194,4.000000,1.100000
195,4.000000,1.200000
196,4.000000,1.300000
197,4.000000,1.400000
198,4.000000,1.500000
199,4.000000,1.600000
200,4.000000,1.700000
201,4.000000,1.800000
202,4.000000,1.900000
203,3.999999,2.000000
203,3.999999,2.000000
204,4.000000,2.100000
205,4.000000,2.200000
206,4.000000,2.300000
207,4.000000,2.400000
208,4.000000,2.500000
209,4.000000,2.599999
210,4.000000,2.699999
211,4.000000,2.799999
212,4.000000,2.899999
213,3.999999,3.000000
