index,x,y,sten
132,3.000,1.000,south
333,3.100,1.000,south
334,3.200,1.000,south
335,3.300,1.000,south
336,3.400,1.000,south
337,3.500,1.000,south
338,3.600,1.000,south
339,3.700,1.000,south
340,3.800,1.000,south
341,3.900,1.000,south
193,4.000,1.000,south
342,4.100,1.000,south
343,4.200,1.000,south
344,4.300,1.000,south
345,4.400,1.000,south
346,4.500,1.000,south
347,4.600,1.000,south
348,4.700,1.000,south
349,4.800,1.000,south
350,4.900,1.000,south
254,5.000,1.000,south
254,5.000,1.000,east
255,5.000,1.100,east
256,5.000,1.200,east
257,5.000,1.300,east
258,5.000,1.400,east
259,5.000,1.500,east
260,5.000,1.600,east
261,5.000,1.700,east
262,5.000,1.800,east
263,5.000,1.900,east
264,5.000,2.000,east
142,3.000,2.000,north
389,3.100,2.000,north
390,3.200,2.000,north
391,3.300,2.000,north
392,3.400,2.000,north
393,3.500,2.000,north
394,3.600,2.000,north
395,3.700,2.000,north
396,3.800,2.000,north
397,3.900,2.000,north
203,4.000,2.000,north
398,4.100,2.000,north
399,4.200,2.000,north
400,4.300,2.000,north
401,4.400,2.000,north
402,4.500,2.000,north
403,4.600,2.000,north
404,4.700,2.000,north
405,4.800,2.000,north
406,4.900,2.000,north
264,5.000,2.000,north
132,3.000,1.000,west
133,3.000,1.100,west
134,3.000,1.200,west
135,3.000,1.300,west
136,3.000,1.400,west
137,3.000,1.500,west
138,3.000,1.600,west
139,3.000,1.700,west
140,3.000,1.800,west
141,3.000,1.900,west
142,3.000,2.000,west
