index,x,y,sten
345,0.000,4.000,south
346,0.100,4.000,south
347,0.200,4.000,south
348,0.300,4.000,south
349,0.400,4.000,south
350,0.500,4.000,south
351,0.600,4.000,south
352,0.700,4.000,south
353,0.800,4.000,south
354,0.900,4.000,south
40,1.000,4.000,south
355,1.100,4.000,south
356,1.200,4.000,south
357,1.300,4.000,south
358,1.400,4.000,south
359,1.500,4.000,south
360,1.600,4.000,south
361,1.700,4.000,south
362,1.800,4.000,south
363,1.900,4.000,south
91,2.000,4.000,south
91,2.000,4.000,east
92,2.000,4.100,east
93,2.000,4.200,east
94,2.000,4.300,east
95,2.000,4.400,east
96,2.000,4.500,east
97,2.000,4.600,east
98,2.000,4.700,east
99,2.000,4.800,east
100,2.000,4.900,east
101,2.000,5.000,east
