index,x,y,sten
10,1.000,1.000,south
315,1.100,1.000,south
316,1.200,1.000,south
317,1.300,1.000,south
318,1.400,1.000,south
319,1.500,1.000,south
320,1.600,1.000,south
321,1.700,1.000,south
322,1.800,1.000,south
323,1.900,1.000,south
71,2.000,1.000,south
71,2.000,1.000,east
72,2.000,1.100,east
73,2.000,1.200,east
74,2.000,1.300,east
75,2.000,1.400,east
76,2.000,1.500,east
77,2.000,1.600,east
78,2.000,1.700,east
79,2.000,1.800,east
80,2.000,1.900,east
81,2.000,2.000,east
82,2.000,2.100,east
83,2.000,2.200,east
84,2.000,2.300,east
85,2.000,2.400,east
86,2.000,2.500,east
87,2.000,2.600,east
88,2.000,2.700,east
89,2.000,2.800,east
90,2.000,2.900,east
91,2.000,3.000,east
30,1.000,3.000,north
427,1.100,3.000,north
428,1.200,3.000,north
429,1.300,3.000,north
430,1.400,3.000,north
431,1.500,3.000,north
432,1.600,3.000,north
433,1.700,3.000,north
434,1.800,3.000,north
435,1.900,3.000,north
91,2.000,3.000,north
10,1.000,1.000,west
11,1.000,1.100,west
12,1.000,1.200,west
13,1.000,1.300,west
14,1.000,1.400,west
15,1.000,1.500,west
16,1.000,1.600,west
17,1.000,1.700,west
18,1.000,1.800,west
19,1.000,1.900,west
20,1.000,2.000,west
21,1.000,2.100,west
22,1.000,2.200,west
23,1.000,2.300,west
24,1.000,2.400,west
25,1.000,2.500,west
26,1.000,2.600,west
27,1.000,2.700,west
28,1.000,2.800,west
29,1.000,2.900,west
30,1.000,3.000,west
