index,x,y
10,1.000000,1.000000
214,1.100000,1.000000
215,1.200000,1.000000
216,1.300000,1.000000
217,1.400000,1.000000
218,1.500000,1.000000
219,1.600000,1.000000
220,1.700000,1.000000
221,1.800000,1.000000
222,1.900000,1.000000
61,2.000000,1.000000
61,2.000000,1.000000
223,2.100000,1.000000
224,2.200000,1.000000
225,2.300000,1.000000
226,2.400000,1.000000
227,2.500000,1.000000
228,2.599999,1.000000
229,2.699999,1.000000
230,2.799999,1.000000
231,2.899999,1.000000
112,2.999999,1.000000
51,2.000000,0.000000
52,2.000000,0.100000
53,2.000000,0.200000
54,2.000000,0.300000
55,2.000000,0.400000
56,2.000000,0.500000
57,2.000000,0.600000
58,2.000000,0.700000
59,2.000000,0.800000
60,2.000000,0.900000
61,2.000000,1.000000
61,2.000000,1.000000
62,2.000000,1.100000
63,2.000000,1.200000
64,2.000000,1.300000
65,2.000000,1.400000
66,2.000000,1.500000
67,2.000000,1.600000
68,2.000000,1.700000
69,2.000000,1.800000
70,2.000000,1.900000
71,2.000000,2.000000
