index,x,y,sten
183,4.000,0.000,east
184,4.000,0.100,east
185,4.000,0.200,east
186,4.000,0.300,east
187,4.000,0.400,east
188,4.000,0.500,east
189,4.000,0.600,east
190,4.000,0.700,east
191,4.000,0.800,east
192,4.000,0.900,east
193,4.000,1.000,east
194,4.000,1.100,east
195,4.000,1.200,east
196,4.000,1.300,east
197,4.000,1.400,east
198,4.000,1.500,east
199,4.000,1.600,east
200,4.000,1.700,east
201,4.000,1.800,east
202,4.000,1.900,east
203,4.000,2.000,east
142,3.000,2.000,north
389,3.100,2.000,north
390,3.200,2.000,north
391,3.300,2.000,north
392,3.400,2.000,north
393,3.500,2.000,north
394,3.600,2.000,north
395,3.700,2.000,north
396,3.800,2.000,north
397,3.900,2.000,north
203,4.000,2.000,north
122,3.000,0.000,west
123,3.000,0.100,west
124,3.000,0.200,west
125,3.000,0.300,west
126,3.000,0.400,west
127,3.000,0.500,west
128,3.000,0.600,west
129,3.000,0.700,west
130,3.000,0.800,west
131,3.000,0.900,west
132,3.000,1.000,west
133,3.000,1.100,west
134,3.000,1.200,west
135,3.000,1.300,west
136,3.000,1.400,west
137,3.000,1.500,west
138,3.000,1.600,west
139,3.000,1.700,west
140,3.000,1.800,west
141,3.000,1.900,west
142,3.000,2.000,west
