index,x,y
81,2.000000,2.999999
317,2.100000,3.000000
318,2.200000,3.000000
319,2.300000,3.000000
320,2.400000,3.000000
321,2.500000,3.000000
322,2.599999,3.000000
323,2.699999,3.000000
324,2.799999,3.000000
325,2.899999,3.000000
132,2.999999,3.000000
122,2.999999,2.000000
123,3.000000,2.100000
124,3.000000,2.200000
125,3.000000,2.300000
126,3.000000,2.400000
127,3.000000,2.500000
128,3.000000,2.599999
129,3.000000,2.699999
130,3.000000,2.799999
131,3.000000,2.899999
132,2.999999,3.000000
132,2.999999,3.000000
326,3.100000,3.000000
327,3.200000,3.000000
328,3.300000,3.000000
329,3.400000,3.000000
330,3.500000,3.000000
331,3.599999,3.000000
332,3.699999,3.000000
333,3.799999,3.000000
334,3.899999,3.000000
183,3.999999,3.000000
132,2.999999,3.000000
133,3.000000,3.100000
134,3.000000,3.200000
135,3.000000,3.300000
136,3.000000,3.400000
137,3.000000,3.500000
138,3.000000,3.599999
139,3.000000,3.699999
140,3.000000,3.799999
141,3.000000,3.899999
142,3.000000,3.999999
