index,x,y,sten
30,1.000,3.000,south
308,1.100,3.000,south
309,1.200,3.000,south
310,1.300,3.000,south
311,1.400,3.000,south
312,1.500,3.000,south
313,1.600,3.000,south
314,1.700,3.000,south
315,1.800,3.000,south
316,1.900,3.000,south
81,2.000,3.000,south
81,2.000,3.000,east
82,2.000,3.100,east
83,2.000,3.200,east
84,2.000,3.300,east
85,2.000,3.400,east
86,2.000,3.500,east
87,2.000,3.600,east
88,2.000,3.700,east
89,2.000,3.800,east
90,2.000,3.900,east
91,2.000,4.000,east
92,2.000,4.100,east
93,2.000,4.200,east
94,2.000,4.300,east
95,2.000,4.400,east
96,2.000,4.500,east
97,2.000,4.600,east
98,2.000,4.700,east
99,2.000,4.800,east
100,2.000,4.900,east
101,2.000,5.000,east
30,1.000,3.000,west
31,1.000,3.100,west
32,1.000,3.200,west
33,1.000,3.300,west
34,1.000,3.400,west
35,1.000,3.500,west
36,1.000,3.600,west
37,1.000,3.700,west
38,1.000,3.800,west
39,1.000,3.900,west
40,1.000,4.000,west
41,1.000,4.100,west
42,1.000,4.200,west
43,1.000,4.300,west
44,1.000,4.400,west
45,1.000,4.500,west
46,1.000,4.600,west
47,1.000,4.700,west
48,1.000,4.800,west
49,1.000,4.900,west
50,1.000,5.000,west
