index,x,y
152,2.999999,3.000000
153,3.000000,3.100000
154,3.000000,3.200000
155,3.000000,3.300000
156,3.000000,3.400000
157,3.000000,3.500000
158,3.000000,3.599999
159,3.000000,3.699999
160,3.000000,3.799999
161,3.000000,3.899999
162,3.000000,3.999999
162,3.000000,3.999999
163,3.000000,4.100000
164,3.000000,4.200000
165,3.000000,4.300000
166,3.000000,4.400000
167,3.000000,4.500000
168,3.000000,4.599999
169,3.000000,4.699999
170,3.000000,4.799999
171,3.000000,4.899999
172,3.000000,4.999999
101,2.000000,3.999999
492,2.100000,4.000000
493,2.200000,4.000000
494,2.300000,4.000000
495,2.400000,4.000000
496,2.500000,4.000000
497,2.599999,4.000000
498,2.699999,4.000000
499,2.799999,4.000000
500,2.899999,4.000000
162,3.000000,3.999999
162,3.000000,3.999999
501,3.100000,4.000000
502,3.200000,4.000000
503,3.300000,4.000000
504,3.400000,4.000000
505,3.500000,4.000000
506,3.599999,4.000000
507,3.699999,4.000000
508,3.799999,4.000000
509,3.899999,4.000000
223,3.999999,4.000000
