index,x,y,sten
0,1.000,0.000,east
1,1.000,0.100,east
2,1.000,0.200,east
3,1.000,0.300,east
4,1.000,0.400,east
5,1.000,0.500,east
6,1.000,0.600,east
7,1.000,0.700,east
8,1.000,0.800,east
9,1.000,0.900,east
10,1.000,1.000,east
11,1.000,1.100,east
12,1.000,1.200,east
13,1.000,1.300,east
14,1.000,1.400,east
15,1.000,1.500,east
16,1.000,1.600,east
17,1.000,1.700,east
18,1.000,1.800,east
19,1.000,1.900,east
20,1.000,2.000,east
251,0.000,2.000,north
252,0.100,2.000,north
253,0.200,2.000,north
254,0.300,2.000,north
255,0.400,2.000,north
256,0.500,2.000,north
257,0.600,2.000,north
258,0.700,2.000,north
259,0.800,2.000,north
260,0.900,2.000,north
20,1.000,2.000,north
