index,x,y
20,1.000000,2.000000
261,1.100000,2.000000
262,1.200000,2.000000
263,1.300000,2.000000
264,1.400000,2.000000
265,1.500000,2.000000
266,1.600000,2.000000
267,1.700000,2.000000
268,1.800000,2.000000
269,1.900000,2.000000
71,2.000000,2.000000
61,2.000000,1.000000
62,2.000000,1.100000
63,2.000000,1.200000
64,2.000000,1.300000
65,2.000000,1.400000
66,2.000000,1.500000
67,2.000000,1.600000
68,2.000000,1.700000
69,2.000000,1.800000
70,2.000000,1.900000
71,2.000000,2.000000
71,2.000000,2.000000
270,2.100000,2.000000
271,2.200000,2.000000
272,2.300000,2.000000
273,2.400000,2.000000
274,2.500000,2.000000
275,2.599999,2.000000
276,2.699999,2.000000
277,2.799999,2.000000
278,2.899999,2.000000
122,2.999999,2.000000
71,2.000000,2.000000
72,2.000000,2.100000
73,2.000000,2.200000
74,2.000000,2.300000
75,2.000000,2.400000
76,2.000000,2.500000
77,2.000000,2.599999
78,2.000000,2.699999
79,2.000000,2.799999
80,2.000000,2.899999
81,2.000000,2.999999
