index,x,y,sten
101,2.000,4.000,south
492,2.100,4.000,south
493,2.200,4.000,south
494,2.300,4.000,south
495,2.400,4.000,south
496,2.500,4.000,south
497,2.600,4.000,south
498,2.700,4.000,south
499,2.800,4.000,south
500,2.900,4.000,south
162,3.000,4.000,south
501,3.100,4.000,south
502,3.200,4.000,south
503,3.300,4.000,south
504,3.400,4.000,south
505,3.500,4.000,south
506,3.600,4.000,south
507,3.700,4.000,south
508,3.800,4.000,south
509,3.900,4.000,south
223,4.000,4.000,south
223,4.000,4.000,east
224,4.000,4.100,east
225,4.000,4.200,east
226,4.000,4.300,east
227,4.000,4.400,east
228,4.000,4.500,east
229,4.000,4.600,east
230,4.000,4.700,east
231,4.000,4.800,east
232,4.000,4.900,east
233,4.000,5.000,east
234,4.000,5.100,east
235,4.000,5.200,east
236,4.000,5.300,east
237,4.000,5.400,east
238,4.000,5.500,east
239,4.000,5.600,east
240,4.000,5.700,east
241,4.000,5.800,east
242,4.000,5.900,east
243,4.000,6.000,east
101,2.000,4.000,west
102,2.000,4.100,west
103,2.000,4.200,west
104,2.000,4.300,west
105,2.000,4.400,west
106,2.000,4.500,west
107,2.000,4.600,west
108,2.000,4.700,west
109,2.000,4.800,west
110,2.000,4.900,west
111,2.000,5.000,west
112,2.000,5.100,west
113,2.000,5.200,west
114,2.000,5.300,west
115,2.000,5.400,west
116,2.000,5.500,west
117,2.000,5.600,west
118,2.000,5.700,west
119,2.000,5.800,west
120,2.000,5.900,west
121,2.000,6.000,west
