B_i,B_j,B_ij
265,0,9.926550e-01
266,0,9.584147e-01
267,0,8.479764e-01
268,0,6.109133e-01
269,0,4.820538e-01
270,0,4.079475e-01
271,0,2.112442e-01
272,0,2.296405e+00
273,0,3.683192e-02
274,0,8.879768e-02
275,0,1.313223e-01
276,0,1.937025e-01
277,0,2.345071e-01
278,0,2.978675e-01
279,0,2.638104e-01
280,0,3.263017e-01
281,0,3.597355e-01
282,0,3.608531e-01
283,0,3.994566e-01
284,0,4.009036e-01
285,0,3.431462e-01
286,0,4.041902e-01
287,0,4.204678e-01
288,0,4.292050e-01
289,0,4.585929e-01
290,0,3.840060e-01
291,0,3.810841e-01
292,0,3.458328e-01
293,0,3.740180e-01
294,0,3.377974e-01
295,0,2.851453e-01
296,0,3.237136e-01
297,0,2.717611e-01
298,0,2.237342e-01
299,0,1.799231e-01
300,0,1.280942e-01
301,0,6.572865e-02
302,0,1.531602e+00
303,0,9.765998e-03
304,0,1.256594e-02
305,0,2.052925e-02
306,0,2.739437e-02
307,0,3.039827e-02
308,0,3.393155e-02
309,0,3.242630e-02
310,0,4.219359e-02
311,0,4.396801e-02
312,0,3.862045e-02
313,0,4.308211e-02
314,0,5.346909e-02
315,0,4.948590e-02
316,0,4.741406e-02
317,0,5.275260e-02
318,0,4.615153e-02
319,0,4.554399e-02
320,0,4.606621e-02
321,0,4.135391e-02
322,0,4.626517e-02
323,0,4.555043e-02
324,0,3.654043e-02
325,0,3.463472e-02
326,0,2.913139e-02
327,0,2.366548e-02
328,0,1.983657e-02
329,0,1.691801e-02
330,0,1.075360e-02
331,0,5.215251e-03
332,0,5.164111e-01
333,0,2.059475e-02
334,0,3.375216e-02
335,0,3.745839e-02
336,0,6.354037e-02
337,0,6.738548e-02
338,0,6.794086e-02
339,0,7.478180e-02
340,0,8.178803e-02
341,0,9.008259e-02
342,0,9.662090e-02
343,0,9.366748e-02
344,0,1.024397e-01
345,0,9.609519e-02
346,0,8.975350e-02
347,0,9.167663e-02
348,0,9.707220e-02
349,0,8.297936e-02
