index,x,y,sten
152,3.000,3.000,south
445,3.100,3.000,south
446,3.200,3.000,south
447,3.300,3.000,south
448,3.400,3.000,south
449,3.500,3.000,south
450,3.600,3.000,south
451,3.700,3.000,south
452,3.800,3.000,south
453,3.900,3.000,south
213,4.000,3.000,south
454,4.100,3.000,south
455,4.200,3.000,south
456,4.300,3.000,south
457,4.400,3.000,south
458,4.500,3.000,south
459,4.600,3.000,south
460,4.700,3.000,south
461,4.800,3.000,south
462,4.900,3.000,south
274,5.000,3.000,south
274,5.000,3.000,east
275,5.000,3.100,east
276,5.000,3.200,east
277,5.000,3.300,east
278,5.000,3.400,east
279,5.000,3.500,east
280,5.000,3.600,east
281,5.000,3.700,east
282,5.000,3.800,east
283,5.000,3.900,east
284,5.000,4.000,east
162,3.000,4.000,north
501,3.100,4.000,north
502,3.200,4.000,north
503,3.300,4.000,north
504,3.400,4.000,north
505,3.500,4.000,north
506,3.600,4.000,north
507,3.700,4.000,north
508,3.800,4.000,north
509,3.900,4.000,north
223,4.000,4.000,north
510,4.100,4.000,north
511,4.200,4.000,north
512,4.300,4.000,north
513,4.400,4.000,north
514,4.500,4.000,north
515,4.600,4.000,north
516,4.700,4.000,north
517,4.800,4.000,north
518,4.900,4.000,north
284,5.000,4.000,north
152,3.000,3.000,west
153,3.000,3.100,west
154,3.000,3.200,west
155,3.000,3.300,west
156,3.000,3.400,west
157,3.000,3.500,west
158,3.000,3.600,west
159,3.000,3.700,west
160,3.000,3.800,west
161,3.000,3.900,west
162,3.000,4.000,west
