index,x,y,sten
91,2.000,4.000,south
364,2.100,4.000,south
365,2.200,4.000,south
366,2.300,4.000,south
367,2.400,4.000,south
368,2.500,4.000,south
369,2.600,4.000,south
370,2.700,4.000,south
371,2.800,4.000,south
372,2.900,4.000,south
142,3.000,4.000,south
373,3.100,4.000,south
374,3.200,4.000,south
375,3.300,4.000,south
376,3.400,4.000,south
377,3.500,4.000,south
378,3.600,4.000,south
379,3.700,4.000,south
380,3.800,4.000,south
381,3.900,4.000,south
193,4.000,4.000,south
193,4.000,4.000,east
194,4.000,4.100,east
195,4.000,4.200,east
196,4.000,4.300,east
197,4.000,4.400,east
198,4.000,4.500,east
199,4.000,4.600,east
200,4.000,4.700,east
201,4.000,4.800,east
202,4.000,4.900,east
203,4.000,5.000,east
91,2.000,4.000,west
92,2.000,4.100,west
93,2.000,4.200,west
94,2.000,4.300,west
95,2.000,4.400,west
96,2.000,4.500,west
97,2.000,4.600,west
98,2.000,4.700,west
99,2.000,4.800,west
100,2.000,4.900,west
101,2.000,5.000,west
