index,x,y,sten
203,4.000,2.000,south
398,4.100,2.000,south
399,4.200,2.000,south
400,4.300,2.000,south
401,4.400,2.000,south
402,4.500,2.000,south
403,4.600,2.000,south
404,4.700,2.000,south
405,4.800,2.000,south
406,4.900,2.000,south
264,5.000,2.000,south
407,5.100,2.000,south
408,5.200,2.000,south
409,5.300,2.000,south
410,5.400,2.000,south
411,5.500,2.000,south
412,5.600,2.000,south
413,5.700,2.000,south
414,5.800,2.000,south
415,5.900,2.000,south
416,6.000,2.000,south
213,4.000,3.000,north
454,4.100,3.000,north
455,4.200,3.000,north
456,4.300,3.000,north
457,4.400,3.000,north
458,4.500,3.000,north
459,4.600,3.000,north
460,4.700,3.000,north
461,4.800,3.000,north
462,4.900,3.000,north
274,5.000,3.000,north
463,5.100,3.000,north
464,5.200,3.000,north
465,5.300,3.000,north
466,5.400,3.000,north
467,5.500,3.000,north
468,5.600,3.000,north
469,5.700,3.000,north
470,5.800,3.000,north
471,5.900,3.000,north
472,6.000,3.000,north
203,4.000,2.000,west
204,4.000,2.100,west
205,4.000,2.200,west
206,4.000,2.300,west
207,4.000,2.400,west
208,4.000,2.500,west
209,4.000,2.600,west
210,4.000,2.700,west
211,4.000,2.800,west
212,4.000,2.900,west
213,4.000,3.000,west
