Knot,h,N
245,9.697599e-04,10000
246,1.182536e-03,10000
247,1.295425e-03,10000
248,1.547322e-03,10000
249,2.047384e-03,10000
250,1.936492e-03,10000
251,7.828333e-04,10000
252,1.167634e-03,10000
253,4.798763e-04,10000
254,5.191417e-03,10000
255,1.475594e-03,10000
256,9.690341e-04,10000
257,1.226189e-03,10000
258,1.869251e-03,10000
259,1.118698e-03,10000
260,6.476742e-04,10000
261,9.551405e-04,10000
262,3.061486e-03,10000
263,2.346376e-03,10000
264,6.090503e-03,10000
265,8.444449e-04,10000
266,1.352453e-03,10000
267,1.029664e-03,10000
268,8.325594e-04,10000
269,3.284613e-02,10000
270,6.248360e-04,10000
271,8.387490e-04,10000
272,2.192426e-03,16402
273,7.427546e-04,10000
274,1.626706e-03,10000
275,3.605023e-02,10000
276,3.850077e-03,10000
277,2.079963e-03,10000
278,2.204800e-03,10000
279,3.588316e-03,10000
280,5.795038e-03,10000
281,5.285624e-03,10924
282,3.502641e-03,10820
283,2.216579e-03,12027
284,1.832533e-03,13360
285,1.559274e-02,13493
286,3.035338e-03,14261
287,3.653100e-03,15087
288,1.243804e-02,15771
289,2.606339e-03,16099
290,2.336736e-03,17663
291,1.230209e-03,18449
292,7.908046e-04,19485
293,1.237202e-03,19860
294,1.431845e-03,20758
295,8.644222e-04,21751
296,1.027216e-03,21869
297,1.075666e-03,22901
298,9.289690e-04,23482
299,8.399409e-04,25028
300,6.134021e-04,25460
301,7.657325e-04,25575
302,1.692999e-02,10000
303,7.859767e-04,25587
304,7.251305e-04,25685
305,7.897632e-04,24361
306,1.138557e-03,23751
307,8.544921e-04,22592
308,9.162091e-04,21491
309,8.336613e-04,20918
310,1.050546e-03,19995
311,1.047785e-03,18932
312,1.344073e-03,17967
313,1.452021e-03,17477
314,1.491176e-03,15943
315,3.059794e-03,15422
316,1.203977e-03,14536
317,8.952315e-04,13710
318,8.373853e-03,12701
319,1.953482e-03,12243
320,5.565865e-03,11447
321,5.069439e-03,10433
322,6.324292e-03,10000
323,2.529131e-02,10000
324,1.080670e-02,10000
325,3.492136e-03,10000
326,3.712077e-03,10000
327,1.109570e-02,10000
328,5.234534e-03,10000
329,3.190212e-02,10000
330,3.322430e-03,10000
331,2.314641e-02,10000
332,1.682835e-03,10000
333,1.901108e-02,10000
334,2.421843e-03,10000
335,2.384066e-03,10000
336,4.396038e-03,10000
337,2.041954e-03,10000
338,9.060995e-03,10000
339,7.590603e-03,10000
340,2.077006e-02,10000
341,4.065432e-03,10000
342,3.809288e-03,10000
343,6.127902e-03,10000
344,1.106963e-02,10000
345,2.277030e-02,10000
346,2.046044e-03,10000
347,9.174562e-03,10000
348,1.257018e-02,10000
349,3.888757e-03,10000
350,8.625149e-03,10000
351,6.954191e-02,10000
352,4.745759e-03,10000
353,2.713477e-02,10000
354,4.918365e-03,10000
355,1.196438e-02,10000
356,5.030582e-02,10000
357,7.234232e-02,10000
358,4.669529e-02,10000
359,1.031030e-01,10000
360,8.504259e-03,10000
361,2.762412e-02,10000
362,1.473089e+00,10000
363,1.473089e+00,10000
364,2.561792e-03,10000
365,2.483739e-03,10000
366,1.094075e-03,10000
367,8.677124e-04,10000
368,1.577474e-03,10000
369,2.189861e-03,10000
370,8.236756e-03,10198
371,2.646800e-03,11118
372,1.822479e-02,12193
373,2.611691e-02,13998
374,9.648531e-03,15872
375,2.223769e-03,18641
376,1.014217e-03,19514
377,1.531645e-02,19839
378,1.166750e-03,24848
379,2.645786e-02,23171
380,8.422717e-03,26508
381,2.023936e-03,29701
382,5.713651e-04,31890
383,7.667169e-04,33042
384,1.133026e-03,34419
385,2.196368e-03,39122
386,1.339778e-03,40849
387,5.562757e-04,45448
388,5.779274e-04,45906
389,1.164201e-03,51500
390,9.147431e-04,54447
391,7.968378e-04,56619
392,1.118600e-03,59633
393,7.470073e-04,60209
394,1.154778e-03,59824
395,3.944088e-04,56634
396,8.179587e-04,54679
397,7.543536e-04,52741
398,4.401921e-04,50768
399,9.986932e-04,48881
400,7.475529e-04,49058
401,8.430458e-04,45684
402,5.033457e-04,44153
403,5.011067e-04,42866
404,9.972158e-04,43971
405,9.654245e-04,43141
406,1.606678e-03,41227
407,4.869517e-04,40067
408,1.152437e-03,40053
409,5.666753e-04,40506
410,1.071853e-03,40660
411,5.935800e-04,41363
412,7.694275e-04,38789
413,1.005960e-03,41844
414,8.056515e-04,42834
415,3.871452e-04,41330
416,6.102772e-04,41641
417,7.013689e-04,43750
418,3.738139e-04,44055
419,5.221330e-04,45581
420,5.292856e-04,44978
421,4.172713e-04,45028
422,3.792743e-04,43599
423,5.064898e-04,43811
424,8.854996e-04,43769
425,1.810418e-03,41938
426,1.920596e-03,39162
427,4.022383e-04,38239
428,1.400874e-03,36739
429,1.047291e-03,36806
430,6.147113e-04,34921
431,1.403517e-03,34270
432,1.657325e-02,30851
433,5.266024e-04,30696
434,1.854630e-04,29282
435,1.530126e-03,28799
436,1.070309e-03,27251
437,8.825801e-04,27891
438,7.847670e-04,26388
439,1.283030e-03,24838
440,3.584954e-03,22059
441,1.686991e-03,24134
442,6.958782e-04,20695
443,9.589365e-03,19108
444,2.065130e-03,16658
445,1.968137e-03,15619
446,7.645846e-04,13817
447,6.822425e-04,13142
448,6.414478e-03,10762
449,9.848640e-04,10000
450,7.449920e-04,10000
451,5.386771e-04,10000
452,2.028475e-03,10000
453,6.175954e-04,10000
454,1.156329e-03,10000
455,7.658005e-03,10000
456,6.957995e-04,10000
457,1.091992e-01,10000
458,1.240004e-03,10000
459,1.959634e-02,10000
460,1.273030e-03,10000
461,5.627503e-03,10108
462,1.294721e-02,10000
463,2.830386e-02,10000
464,1.338920e-02,10000
465,5.745159e-04,10000
466,9.191255e-02,10000
467,6.753645e-04,10000
468,1.791041e-03,10000
469,2.100451e-03,10000
470,8.436383e-03,10000
471,2.730820e-02,10000
472,1.176860e-03,10000
473,3.295320e-03,10000
474,2.901690e-03,10000
475,2.672735e-03,10000
476,2.585159e-03,10000
477,6.247292e-03,10000
478,3.286336e-03,10000
479,2.248081e-02,10000
480,1.473089e+00,10000
481,1.473089e+00,10000
482,2.387541e-02,10000
483,2.445484e-03,10000
484,2.706362e-02,10000
485,5.193379e-03,10000
486,1.171686e-02,10000
487,8.691204e-03,10000
488,3.024988e-03,10000
489,1.459527e-02,10000
490,2.018316e-03,10000
491,2.902753e-04,10000
492,6.467671e-03,10000
493,1.490419e-02,10661
494,1.473089e+00,11098
495,2.163044e-03,12470
496,3.451933e-02,12611
497,3.002096e-03,11724
498,9.665953e-03,11809
499,1.875144e-03,12683
500,2.207117e-03,12483
501,3.036454e-03,12133
502,2.043785e-03,13067
503,2.702044e-03,11559
504,6.525374e-03,11714
505,1.013479e-03,11783
506,1.564553e-03,10249
507,3.637748e-03,10000
508,6.693147e-04,10000
509,4.033997e-03,10000
510,7.541259e-04,10000
511,7.267268e-04,10000
512,6.015896e-04,10000
513,1.451009e-02,10000
514,8.410404e-04,10262
515,1.522936e-03,12616
516,1.090827e-03,13772
517,1.154141e-03,15885
518,3.222050e-03,16703
519,4.483795e-03,17940
520,5.577945e-04,17972
521,7.519197e-04,18822
522,7.843800e-04,24220
523,1.628544e-04,20005
524,8.973397e-03,20930
525,1.349078e-02,21145
526,5.507185e-03,20820
527,1.476398e-03,22675
528,8.327015e-04,20811
529,2.799365e-03,22047
530,9.244675e-04,21541
531,1.131066e-03,20980
532,1.921844e-03,21908
533,9.219671e-03,21671
534,7.200898e-03,20521
535,1.473089e+00,19809
536,2.494099e-03,21046
537,1.071023e-03,19709
538,1.143817e-03,19882
539,1.090152e-03,19081
540,2.633436e-03,18423
541,2.291729e-03,18387
542,2.494322e-03,18287
543,9.998340e-04,18894
544,7.906542e-03,18748
545,2.223511e-03,18543
546,4.939551e-03,17571
547,1.739739e-03,18555
548,5.769484e-03,18718
549,1.398887e-03,17860
550,9.876247e-04,17525
551,1.935261e-04,18629
552,9.843319e-04,17734
553,5.504276e-03,18177
554,1.331103e-03,19000
555,1.415427e-03,18987
556,7.098312e-04,18866
557,9.074780e-04,19004
558,7.556274e-04,19417
559,2.097688e-03,19591
560,1.492130e-03,20075
561,5.080962e-04,20109
562,9.486652e-04,20618
563,1.052817e-03,21463
564,1.411025e-03,21853
565,6.169946e-04,23751
566,1.204382e-03,24339
567,4.626410e-04,24709
568,7.433490e-04,25204
569,1.197378e-03,24713
570,8.727677e-04,23891
571,1.563382e-03,22320
572,1.706469e-03,20622
573,7.473479e-04,19411
574,1.623661e-03,17548
575,1.266936e-03,17084
576,1.957653e-03,15381
577,7.934466e-04,14531
578,2.074234e-03,14056
579,1.363167e-03,13125
580,9.000562e-04,12591
581,5.050634e-03,10839
582,1.176745e-03,10263
583,1.636960e-03,10194
584,3.862096e-03,10000
585,1.798873e-03,10000
586,1.382061e-03,10000
587,8.365126e-03,10000
588,4.561123e-03,10000
589,5.026158e-03,10000
590,3.389916e-02,10000
591,1.307390e-02,10000
592,2.010606e-03,10000
593,1.858862e-03,10000
594,3.423348e-03,10000
595,3.592162e-03,10000
596,2.626485e-03,10000
597,1.218831e-03,10000
598,1.473089e+00,10000
599,1.473089e+00,10000
600,2.207766e-03,10000
601,7.443386e-03,10000
602,2.611945e-03,10000
603,1.216772e-03,10000
604,4.024046e-03,10000
605,2.023203e-03,10000
606,7.989646e-03,10000
607,1.155552e-03,10000
608,2.243288e-03,10000
609,1.136457e-03,10000
610,1.760841e-03,10000
611,1.935500e-03,10000
612,2.376451e-03,10000
613,3.387362e-03,11152
614,1.653177e-03,12677
615,1.602717e-03,12370
616,9.708148e-04,13238
617,1.494553e-03,14962
618,3.680342e-03,15702
619,1.123998e-03,17481
620,5.518273e-04,19127
621,8.735832e-04,19592
622,1.085927e-03,21735
623,1.430796e-03,23329
624,7.034375e-04,23942
625,8.643692e-04,25684
626,1.043465e-03,27299
627,4.505936e-04,28681
628,1.081866e-03,29819
629,9.418407e-04,30416
630,1.491564e-03,29800
631,1.213032e-03,27593
632,8.796074e-04,26453
633,1.149658e-03,25462
634,7.276466e-04,23856
635,1.521897e-03,21928
636,1.234524e-03,22719
637,7.827561e-04,20207
638,9.900495e-04,19517
639,2.572532e-03,19431
640,8.676511e-04,18573
641,1.161317e-03,17317
642,1.348775e-03,16715
643,9.251824e-04,16590
644,4.479521e-03,15182
645,3.840129e-03,14684
646,1.318608e-03,15008
647,2.926237e-04,13432
648,1.416040e-03,12451
649,1.769289e-03,11598
650,8.638158e-04,11422
651,1.127146e-03,11352
652,9.222099e-04,10569
653,1.228065e-03,10000
654,4.052935e-03,10000
655,8.126411e-04,10000
656,9.654753e-04,10000
657,2.168100e-03,10000
658,1.996448e-03,10000
659,2.064349e-03,10000
660,2.894502e-03,10000
661,2.377617e-04,10000
662,6.356587e-04,10000
663,1.042244e-03,10000
664,1.014855e-03,10000
665,1.382363e-03,10000
666,1.629080e-03,10000
667,8.306511e-04,10000
668,2.242838e-03,10000
669,1.936966e-03,10000
670,8.326022e-04,10000
671,5.901308e-04,10000
672,1.287106e-03,10000
673,2.435493e-03,10000
674,1.364539e-02,10000
675,1.739766e-03,10000
676,1.139009e-02,10000
677,2.699155e-03,10000
678,6.443486e-03,10000
679,1.593975e-03,10000
680,5.772692e-03,10000
681,2.285245e-03,10000
682,2.208740e-03,10000
683,1.755632e-02,10000
684,6.467509e-03,10000
685,8.158034e-03,10000
686,4.006596e-03,10000
687,4.424532e-03,10000
688,8.789715e-03,10000
689,6.002335e-03,10000
690,7.680500e-03,10000
691,2.431907e-02,10000
692,4.735066e-02,10000
693,3.030024e-03,10000
694,3.299899e-03,10000
695,6.722601e-03,10000
696,4.059934e-03,10000
697,1.293806e-02,10000
698,6.279729e-03,10000
699,6.698211e-03,10000
700,2.861281e-03,10000
701,2.260072e-03,10000
702,4.889406e-03,10000
703,9.824904e-02,10000
704,2.887991e-03,10000
705,2.943728e-02,10000
706,5.643411e-03,10000
707,1.783828e-02,10000
708,1.422001e-01,10000
709,6.440918e-03,10000
710,7.537484e-03,10000
711,1.334831e-02,10000
712,2.103370e-02,10000
713,4.192187e-02,10000
714,3.701745e-02,10000
715,1.825969e-01,10000
716,1.473089e+00,
