index,x,y,sten
162,3.000,4.000,south
501,3.100,4.000,south
502,3.200,4.000,south
503,3.300,4.000,south
504,3.400,4.000,south
505,3.500,4.000,south
506,3.600,4.000,south
507,3.700,4.000,south
508,3.800,4.000,south
509,3.900,4.000,south
223,4.000,4.000,south
510,4.100,4.000,south
511,4.200,4.000,south
512,4.300,4.000,south
513,4.400,4.000,south
514,4.500,4.000,south
515,4.600,4.000,south
516,4.700,4.000,south
517,4.800,4.000,south
518,4.900,4.000,south
284,5.000,4.000,south
284,5.000,4.000,east
285,5.000,4.100,east
286,5.000,4.200,east
287,5.000,4.300,east
288,5.000,4.400,east
289,5.000,4.500,east
290,5.000,4.600,east
291,5.000,4.700,east
292,5.000,4.800,east
293,5.000,4.900,east
294,5.000,5.000,east
172,3.000,5.000,north
557,3.100,5.000,north
558,3.200,5.000,north
559,3.300,5.000,north
560,3.400,5.000,north
561,3.500,5.000,north
562,3.600,5.000,north
563,3.700,5.000,north
564,3.800,5.000,north
565,3.900,5.000,north
233,4.000,5.000,north
566,4.100,5.000,north
567,4.200,5.000,north
568,4.300,5.000,north
569,4.400,5.000,north
570,4.500,5.000,north
571,4.600,5.000,north
572,4.700,5.000,north
573,4.800,5.000,north
574,4.900,5.000,north
294,5.000,5.000,north
162,3.000,4.000,west
163,3.000,4.100,west
164,3.000,4.200,west
165,3.000,4.300,west
166,3.000,4.400,west
167,3.000,4.500,west
168,3.000,4.600,west
169,3.000,4.700,west
170,3.000,4.800,west
171,3.000,4.900,west
172,3.000,5.000,west
