index,x,y,sten
51,2.000,0.000,east
52,2.000,0.100,east
53,2.000,0.200,east
54,2.000,0.300,east
55,2.000,0.400,east
56,2.000,0.500,east
57,2.000,0.600,east
58,2.000,0.700,east
59,2.000,0.800,east
60,2.000,0.900,east
61,2.000,1.000,east
204,0.000,1.000,north
205,0.100,1.000,north
206,0.200,1.000,north
207,0.300,1.000,north
208,0.400,1.000,north
209,0.500,1.000,north
210,0.600,1.000,north
211,0.700,1.000,north
212,0.800,1.000,north
213,0.900,1.000,north
10,1.000,1.000,north
214,1.100,1.000,north
215,1.200,1.000,north
216,1.300,1.000,north
217,1.400,1.000,north
218,1.500,1.000,north
219,1.600,1.000,north
220,1.700,1.000,north
221,1.800,1.000,north
222,1.900,1.000,north
61,2.000,1.000,north
