B_i,B_j,B_ij
265,0,3.738873e-05
266,0,3.625575e-05
267,0,3.108075e-05
268,0,2.649966e-05
269,0,2.029622e-05
270,0,1.461140e-05
271,0,8.172038e-06
272,0,1.514715e-04
273,0,1.552120e-05
274,0,2.990850e-05
275,0,4.129286e-05
276,0,5.297230e-05
277,0,6.383199e-05
278,0,7.419177e-05
279,0,8.423123e-05
280,0,8.754496e-05
281,0,9.807003e-05
282,0,1.001318e-04
283,0,1.047577e-04
284,0,1.094671e-04
285,0,1.128443e-04
286,0,1.140662e-04
287,0,1.151298e-04
288,0,1.142915e-04
289,0,1.130987e-04
290,0,1.097841e-04
291,0,1.114025e-04
292,0,1.041604e-04
293,0,1.010397e-04
294,0,9.355687e-05
295,0,8.537854e-05
296,0,7.555810e-05
297,0,6.933501e-05
298,0,5.553462e-05
299,0,4.587469e-05
300,0,3.171337e-05
301,0,1.758780e-05
302,0,6.607111e-05
303,0,1.250251e-05
304,0,2.227117e-05
305,0,3.256598e-05
306,0,4.002881e-05
307,0,4.971716e-05
308,0,5.618906e-05
309,0,6.368681e-05
310,0,6.879658e-05
311,0,7.377208e-05
312,0,7.630066e-05
313,0,8.123612e-05
314,0,8.380820e-05
315,0,8.549149e-05
316,0,8.636280e-05
317,0,8.684844e-05
318,0,8.636936e-05
319,0,8.613070e-05
320,0,8.423376e-05
321,0,8.192393e-05
322,0,7.865163e-05
323,0,7.557037e-05
324,0,7.013486e-05
325,0,6.320672e-05
326,0,5.686053e-05
327,0,5.069525e-05
328,0,4.279062e-05
329,0,3.271313e-05
330,0,2.187484e-05
331,0,1.184111e-05
332,0,5.728044e-05
333,0,1.097167e-06
334,0,1.992734e-06
335,0,2.779211e-06
336,0,3.405338e-06
337,0,3.916056e-06
338,0,4.409232e-06
339,0,4.632711e-06
340,0,4.947197e-06
341,0,5.221798e-06
342,0,5.372522e-06
343,0,5.231873e-06
344,0,5.328754e-06
345,0,5.269549e-06
346,0,5.125904e-06
347,0,5.206070e-06
348,0,4.963547e-06
349,0,4.763305e-06
350,0,4.491336e-06
351,0,4.224895e-06
352,0,4.093377e-06
353,0,3.614118e-06
354,0,3.335976e-06
355,0,3.063947e-06
356,0,2.652735e-06
357,0,2.233139e-06
358,0,1.908300e-06
359,0,1.324150e-06
360,0,1.012106e-06
361,0,5.320992e-07
362,0,2.238070e-06
363,0,9.845684e-06
364,0,1.145746e-05
365,0,1.288044e-05
366,0,1.420527e-05
367,0,1.606191e-05
368,0,1.814444e-05
369,0,2.029632e-05
370,0,2.265986e-05
371,0,2.586162e-05
372,0,2.930511e-05
373,0,3.328800e-05
374,0,3.761556e-05
375,0,4.271893e-05
376,0,4.803235e-05
377,0,5.379411e-05
378,0,6.161513e-05
379,0,6.827769e-05
380,0,7.469659e-05
381,0,7.945715e-05
382,0,8.345190e-05
383,0,8.588989e-05
384,0,8.682224e-05
385,0,8.733350e-05
386,0,8.646094e-05
387,0,8.410641e-05
388,0,7.637729e-05
389,0,6.747970e-05
390,0,5.830657e-05
391,0,4.186470e-05
392,0,2.264650e-05
393,0,2.179867e-05
394,0,3.683881e-05
395,0,4.996935e-05
396,0,6.257929e-05
397,0,7.647830e-05
398,0,8.158144e-05
399,0,9.067195e-05
400,0,9.528857e-05
401,0,9.858683e-05
402,0,1.070876e-04
403,0,1.073405e-04
404,0,1.108218e-04
405,0,1.117360e-04
406,0,1.130027e-04
407,0,1.105511e-04
408,0,1.120947e-04
409,0,1.087819e-04
410,0,1.086085e-04
411,0,1.068545e-04
412,0,1.032279e-04
413,0,9.916488e-05
414,0,9.247407e-05
415,0,8.571565e-05
416,0,7.926977e-05
417,0,7.022151e-05
418,0,6.311695e-05
419,0,5.109476e-05
420,0,3.578496e-05
421,0,1.797891e-05
422,0,3.437340e-05
423,0,6.164225e-05
424,0,8.571207e-05
425,0,1.046642e-04
426,0,1.220347e-04
427,0,1.395448e-04
428,0,1.515943e-04
429,0,1.586784e-04
430,0,1.682610e-04
431,0,1.761417e-04
432,0,1.788479e-04
433,0,1.840699e-04
434,0,1.840853e-04
435,0,1.829670e-04
436,0,1.835866e-04
437,0,1.815405e-04
438,0,1.769464e-04
439,0,1.761655e-04
440,0,1.672913e-04
441,0,1.647886e-04
442,0,1.548547e-04
443,0,1.457509e-04
444,0,1.337790e-04
445,0,1.252284e-04
446,0,1.061921e-04
447,0,9.303848e-05
448,0,7.520473e-05
449,0,5.324756e-05
450,0,2.751805e-05
451,0,2.092567e-05
452,0,3.551382e-05
453,0,5.091392e-05
454,0,6.140424e-05
455,0,6.762960e-05
456,0,7.602709e-05
457,0,7.964636e-05
458,0,8.733505e-05
459,0,8.741322e-05
460,0,8.938455e-05
461,0,8.838608e-05
462,0,8.631138e-05
463,0,8.340636e-05
464,0,8.312511e-05
465,0,7.883819e-05
466,0,7.610972e-05
467,0,7.173364e-05
468,0,6.585445e-05
469,0,6.338710e-05
470,0,5.736743e-05
471,0,5.383134e-05
472,0,4.767053e-05
473,0,3.987045e-05
474,0,3.611432e-05
475,0,3.005174e-05
476,0,2.391424e-05
477,0,1.779940e-05
478,0,1.231661e-05
479,0,6.736731e-06
480,0,1.316592e-05
481,0,9.204494e-06
482,0,1.047167e-05
483,0,1.207025e-05
484,0,1.349667e-05
485,0,1.522451e-05
486,0,1.707894e-05
487,0,1.897980e-05
488,0,2.129379e-05
489,0,2.419741e-05
490,0,2.766870e-05
491,0,3.113980e-05
492,0,3.477971e-05
493,0,3.973613e-05
494,0,4.277674e-05
495,0,5.026148e-05
496,0,5.686215e-05
497,0,6.322217e-05
498,0,6.712772e-05
499,0,7.338745e-05
500,0,7.571277e-05
501,0,8.068914e-05
502,0,8.313925e-05
503,0,8.272688e-05
504,0,8.066955e-05
505,0,7.539357e-05
506,0,6.839351e-05
507,0,6.022917e-05
508,0,4.965809e-05
509,0,3.700965e-05
510,0,2.150017e-05
511,0,2.910385e-01
512,0,5.528644e-01
513,0,7.960940e-01
514,0,9.947465e-01
515,0,1.184454e+00
516,0,1.306664e+00
517,0,1.418780e+00
518,0,1.533560e+00
519,0,1.647514e+00
520,0,1.701832e+00
521,0,1.753352e+00
522,0,1.823275e+00
523,0,1.856439e+00
524,0,1.859849e+00
525,0,1.883527e+00
526,0,1.867972e+00
527,0,1.835568e+00
528,0,1.843788e+00
529,0,1.774647e+00
530,0,1.726516e+00
531,0,1.587450e+00
532,0,1.505831e+00
533,0,1.476026e+00
534,0,1.285000e+00
535,0,1.123107e+00
536,0,9.415734e-01
537,0,7.064394e-01
538,0,5.223468e-01
539,0,3.263019e-01
540,0,1.423717e-01
541,0,2.459028e-01
542,0,3.627540e-01
543,0,4.354624e-01
544,0,5.134158e-01
545,0,5.837445e-01
546,0,6.425534e-01
547,0,6.477390e-01
548,0,6.911423e-01
549,0,7.671210e-01
550,0,7.330626e-01
551,0,7.846999e-01
552,0,7.661476e-01
553,0,7.733246e-01
554,0,7.857968e-01
555,0,7.659714e-01
556,0,7.610464e-01
557,0,7.231752e-01
558,0,7.570885e-01
559,0,6.773914e-01
560,0,6.819283e-01
561,0,6.178681e-01
562,0,5.912918e-01
563,0,5.281815e-01
564,0,4.603824e-01
565,0,3.770152e-01
566,0,3.252908e-01
567,0,2.314220e-01
568,0,1.246284e-01
569,0,1.308168e-05
570,0,2.352076e-05
571,0,3.155186e-05
572,0,4.085102e-05
573,0,4.478203e-05
574,0,4.891425e-05
575,0,5.268795e-05
576,0,5.621953e-05
577,0,5.785234e-05
578,0,5.892875e-05
579,0,5.983235e-05
580,0,5.937841e-05
581,0,5.947830e-05
582,0,5.698220e-05
583,0,5.650360e-05
584,0,5.424294e-05
585,0,5.245238e-05
586,0,5.053440e-05
587,0,4.798778e-05
588,0,4.398155e-05
589,0,4.078576e-05
590,0,3.684163e-05
591,0,3.329767e-05
592,0,2.933117e-05
593,0,2.520149e-05
594,0,2.034735e-05
595,0,1.599301e-05
596,0,1.108164e-05
597,0,4.801914e-06
598,0,2.116379e-05
599,0,6.412934e-06
600,0,7.181682e-06
601,0,8.018132e-06
602,0,8.896369e-06
603,0,1.018537e-05
604,0,1.150116e-05
605,0,1.276889e-05
606,0,1.445386e-05
607,0,1.598995e-05
608,0,1.801935e-05
609,0,2.020444e-05
610,0,2.304381e-05
611,0,2.668167e-05
612,0,2.905125e-05
613,0,3.292415e-05
614,0,3.730427e-05
615,0,4.250428e-05
616,0,4.597386e-05
617,0,4.695734e-05
618,0,5.024532e-05
619,0,5.191202e-05
620,0,5.396580e-05
621,0,5.183535e-05
622,0,5.177322e-05
623,0,4.806310e-05
624,0,4.440831e-05
625,0,3.840418e-05
626,0,3.304610e-05
627,0,2.446457e-05
628,0,1.284666e-05
629,0,1.056545e-05
630,0,1.752967e-05
631,0,2.381472e-05
632,0,2.979082e-05
633,0,3.388964e-05
634,0,3.744793e-05
635,0,4.228556e-05
636,0,4.579101e-05
637,0,4.639256e-05
638,0,4.851830e-05
639,0,4.988152e-05
640,0,5.095117e-05
641,0,5.021164e-05
642,0,5.089983e-05
643,0,5.065366e-05
644,0,5.146490e-05
645,0,4.929773e-05
646,0,4.931309e-05
647,0,4.768302e-05
648,0,4.627723e-05
649,0,4.461483e-05
650,0,4.192319e-05
651,0,3.912875e-05
652,0,3.600384e-05
653,0,3.264173e-05
654,0,2.745777e-05
655,0,2.299378e-05
656,0,1.588894e-05
657,0,8.840787e-06
658,0,1.017418e-05
659,0,1.834504e-05
660,0,2.552188e-05
661,0,3.206572e-05
662,0,3.823910e-05
663,0,4.131276e-05
664,0,4.532485e-05
665,0,4.941991e-05
666,0,5.171772e-05
