index,x,y,sten
81,2.000,3.000,south
317,2.100,3.000,south
318,2.200,3.000,south
319,2.300,3.000,south
320,2.400,3.000,south
321,2.500,3.000,south
322,2.600,3.000,south
323,2.700,3.000,south
324,2.800,3.000,south
325,2.900,3.000,south
132,3.000,3.000,south
326,3.100,3.000,south
327,3.200,3.000,south
328,3.300,3.000,south
329,3.400,3.000,south
330,3.500,3.000,south
331,3.600,3.000,south
332,3.700,3.000,south
333,3.800,3.000,south
334,3.900,3.000,south
183,4.000,3.000,south
183,4.000,3.000,east
184,4.000,3.100,east
185,4.000,3.200,east
186,4.000,3.300,east
187,4.000,3.400,east
188,4.000,3.500,east
189,4.000,3.600,east
190,4.000,3.700,east
191,4.000,3.800,east
192,4.000,3.900,east
193,4.000,4.000,east
91,2.000,4.000,north
364,2.100,4.000,north
365,2.200,4.000,north
366,2.300,4.000,north
367,2.400,4.000,north
368,2.500,4.000,north
369,2.600,4.000,north
370,2.700,4.000,north
371,2.800,4.000,north
372,2.900,4.000,north
142,3.000,4.000,north
373,3.100,4.000,north
374,3.200,4.000,north
375,3.300,4.000,north
376,3.400,4.000,north
377,3.500,4.000,north
378,3.600,4.000,north
379,3.700,4.000,north
380,3.800,4.000,north
381,3.900,4.000,north
193,4.000,4.000,north
81,2.000,3.000,west
82,2.000,3.100,west
83,2.000,3.200,west
84,2.000,3.300,west
85,2.000,3.400,west
86,2.000,3.500,west
87,2.000,3.600,west
88,2.000,3.700,west
89,2.000,3.800,west
90,2.000,3.900,west
91,2.000,4.000,west
