index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
283,6.496000e+01,3.970444e-01,1.299200e+04,4.955662e-03,-9.333006e-01,-9.084575e-01,4.011431e-03,5.208492e-04,1.391803e-04,1.391803e-04
284,6.478000e+01,4.100959e-01,1.295600e+04,7.974558e-03,-9.909660e-01,-9.553898e-01,9.151369e-03,1.953633e-04,1.771642e-04,1.771642e-04
285,9.651000e+01,5.325607e-01,1.930200e+04,1.277531e-02,-9.923038e-01,-9.756502e-01,1.497311e-02,3.011408e-04,1.673958e-04,1.673958e-04
286,1.170600e+02,5.017008e-01,2.341200e+04,1.530482e-02,-9.948814e-01,-9.764637e-01,1.918480e-02,3.863122e-04,1.383382e-04,1.383382e-04
287,1.460900e+02,7.289855e-01,2.921800e+04,2.221504e-02,-9.933007e-01,-9.665107e-01,2.534478e-02,5.103314e-04,1.129253e-04,1.129253e-04
288,1.427800e+02,7.428229e-01,2.855600e+04,2.238688e-02,-9.876126e-01,-9.536424e-01,2.597521e-02,7.716638e-04,9.273676e-05,9.273676e-05
289,1.252500e+02,6.344716e-01,2.505000e+04,2.017086e-02,-9.880752e-01,-9.609331e-01,2.269630e-02,6.373830e-04,1.379404e-04,1.379404e-04
290,9.853000e+01,5.513106e-01,1.970600e+04,1.784455e-02,-9.822161e-01,-9.616758e-01,1.937793e-02,7.946500e-04,1.318867e-04,1.318867e-04
291,5.946000e+01,3.183829e-01,1.189200e+04,1.282374e-02,-9.744691e-01,-9.484880e-01,1.259453e-02,6.585483e-04,9.396858e-05,9.396858e-05
292,5.550500e+01,7.515905e-01,2.220200e+04,2.545875e-02,-9.710341e-01,-9.490854e-01,2.516365e-02,1.527647e-03,1.052533e-04,1.052533e-04
293,9.407000e+01,9.941020e-01,3.762800e+04,4.838485e-02,-9.812325e-01,-9.457635e-01,4.613643e-02,1.916411e-03,4.209571e-05,4.209571e-05
294,1.347150e+02,1.383324e+00,5.388600e+04,6.791650e-02,-9.837887e-01,-9.617912e-01,6.714678e-02,2.542226e-03,1.780922e-05,1.780922e-05
295,1.410467e+02,1.993183e+00,8.462800e+04,7.442135e-02,-9.861858e-01,-9.557900e-01,8.525281e-02,2.588177e-03,3.760705e-05,3.760705e-05
296,1.372600e+02,2.127495e+00,8.235600e+04,8.053488e-02,-9.782546e-01,-9.487436e-01,7.734885e-02,3.784107e-03,-1.458154e-05,-1.458154e-05
297,1.284900e+02,2.386153e+00,1.027920e+05,7.590069e-02,-9.845908e-01,-9.660901e-01,8.339591e-02,2.821469e-03,1.804738e-05,1.234913e-05
298,9.246000e+01,1.049733e+00,3.698400e+04,5.947594e-02,-9.830171e-01,-9.664111e-01,6.009703e-02,2.062624e-03,2.193580e-05,2.193580e-05
299,5.603500e+01,6.958902e-01,2.241400e+04,3.772869e-02,-9.863460e-01,-9.872327e-01,4.029068e-02,1.102879e-03,-3.187631e-05,-3.187631e-05
300,6.435000e+01,1.242426e+00,3.861000e+04,7.175047e-02,-9.903996e-01,-9.899645e-01,6.486460e-02,2.322472e-03,6.848379e-06,6.848379e-06
301,9.514000e+01,1.505901e+00,5.708400e+04,1.035560e-01,-9.903674e-01,-9.905493e-01,1.029108e-01,3.950900e-03,4.973463e-05,4.973463e-05
