index,x,y,label
21,0.000,1.000,north
22,0.100,1.000,north
23,0.200,1.000,north
24,0.300,1.000,north
25,0.400,1.000,north
26,0.500,1.000,north
27,0.600,1.000,north
28,0.700,1.000,north
29,0.800,1.000,north
30,0.900,1.000,north
10,1.000,1.000,north
31,1.100,1.000,north
32,1.200,1.000,north
33,1.300,1.000,north
34,1.400,1.000,north
35,1.500,1.000,north
36,1.600,1.000,north
37,1.700,1.000,north
38,1.800,1.000,north
39,1.900,1.000,north
40,2.000,1.000,north
