index,x,y
290,5.000,4.600 
291,5.000,4.700 
292,5.000,4.800 
293,5.000,4.900 
294,5.000,5.000 
295,5.000,5.100 
296,5.000,5.200 
297,5.000,5.300 
298,5.000,5.400 
299,5.000,5.500 
300,5.000,5.600 
301,5.000,5.700 
302,5.000,5.800 
303,5.000,5.900 
304,5.000,6.000 
305,0.000,1.000 
306,0.100,1.000 
307,0.200,1.000 
308,0.300,1.000 
309,0.400,1.000 
310,0.500,1.000 
311,0.600,1.000 
312,0.700,1.000 
313,0.800,1.000 
314,0.900,1.000 
315,1.100,1.000 
316,1.200,1.000 
317,1.300,1.000 
318,1.400,1.000 
319,1.500,1.000 
320,1.600,1.000 
321,1.700,1.000 
322,1.800,1.000 
323,1.900,1.000 
324,2.100,1.000 
325,2.200,1.000 
326,2.300,1.000 
327,2.400,1.000 
328,2.500,1.000 
329,2.600,1.000 
330,2.700,1.000 
331,2.800,1.000 
332,2.900,1.000 
333,3.100,1.000 
334,3.200,1.000 
335,3.300,1.000 
336,3.400,1.000 
337,3.500,1.000 
338,3.600,1.000 
339,3.700,1.000 
340,3.800,1.000 
341,3.900,1.000 
342,4.100,1.000 
343,4.200,1.000 
344,4.300,1.000 
345,4.400,1.000 
346,4.500,1.000 
347,4.600,1.000 
348,4.700,1.000 
349,4.800,1.000 
350,4.900,1.000 
351,5.100,1.000 
352,5.200,1.000 
353,5.300,1.000 
354,5.400,1.000 
355,5.500,1.000 
356,5.600,1.000 
357,5.700,1.000 
358,5.800,1.000 
359,5.900,1.000 
360,6.000,1.000 
361,0.000,2.000 
362,0.100,2.000 
363,0.200,2.000 
364,0.300,2.000 
365,0.400,2.000 
366,0.500,2.000 
367,0.600,2.000 
368,0.700,2.000 
369,0.800,2.000 
370,0.900,2.000 
371,1.100,2.000 
372,1.200,2.000 
373,1.300,2.000 
374,1.400,2.000 
375,1.500,2.000 
376,1.600,2.000 
377,1.700,2.000 
378,1.800,2.000 
379,1.900,2.000 
380,2.100,2.000 
381,2.200,2.000 
382,2.300,2.000 
383,2.400,2.000 
384,2.500,2.000 
385,2.600,2.000 
386,2.700,2.000 
387,2.800,2.000 
388,2.900,2.000 
389,3.100,2.000 
390,3.200,2.000 
391,3.300,2.000 
392,3.400,2.000 
393,3.500,2.000 
394,3.600,2.000 
395,3.700,2.000 
396,3.800,2.000 
397,3.900,2.000 
398,4.100,2.000 
399,4.200,2.000 
400,4.300,2.000 
401,4.400,2.000 
402,4.500,2.000 
403,4.600,2.000 
404,4.700,2.000 
405,4.800,2.000 
406,4.900,2.000 
407,5.100,2.000 
408,5.200,2.000 
409,5.300,2.000 
410,5.400,2.000 
411,5.500,2.000 
412,5.600,2.000 
413,5.700,2.000 
414,5.800,2.000 
415,5.900,2.000 
416,6.000,2.000 
417,0.000,3.000 
418,0.100,3.000 
419,0.200,3.000 
420,0.300,3.000 
421,0.400,3.000 
422,0.500,3.000 
423,0.600,3.000 
424,0.700,3.000 
425,0.800,3.000 
426,0.900,3.000 
427,1.100,3.000 
428,1.200,3.000 
429,1.300,3.000 
430,1.400,3.000 
431,1.500,3.000 
432,1.600,3.000 
433,1.700,3.000 
434,1.800,3.000 
435,1.900,3.000 
436,2.100,3.000 
437,2.200,3.000 
438,2.300,3.000 
439,2.400,3.000 
440,2.500,3.000 
441,2.600,3.000 
442,2.700,3.000 
443,2.800,3.000 
444,2.900,3.000 
445,3.100,3.000 
446,3.200,3.000 
447,3.300,3.000 
448,3.400,3.000 
449,3.500,3.000 
450,3.600,3.000 
451,3.700,3.000 
452,3.800,3.000 
453,3.900,3.000 
454,4.100,3.000 
455,4.200,3.000 
456,4.300,3.000 
457,4.400,3.000 
458,4.500,3.000 
459,4.600,3.000 
460,4.700,3.000 
461,4.800,3.000 
462,4.900,3.000 
463,5.100,3.000 
464,5.200,3.000 
465,5.300,3.000 
466,5.400,3.000 
467,5.500,3.000 
468,5.600,3.000 
469,5.700,3.000 
470,5.800,3.000 
471,5.900,3.000 
472,6.000,3.000 
473,0.000,4.000 
474,0.100,4.000 
475,0.200,4.000 
476,0.300,4.000 
477,0.400,4.000 
478,0.500,4.000 
479,0.600,4.000 
480,0.700,4.000 
481,0.800,4.000 
482,0.900,4.000 
483,1.100,4.000 
484,1.200,4.000 
485,1.300,4.000 
486,1.400,4.000 
487,1.500,4.000 
488,1.600,4.000 
489,1.700,4.000 
490,1.800,4.000 
491,1.900,4.000 
492,2.100,4.000 
493,2.200,4.000 
494,2.300,4.000 
495,2.400,4.000 
496,2.500,4.000 
497,2.600,4.000 
498,2.700,4.000 
499,2.800,4.000 
500,2.900,4.000 
501,3.100,4.000 
502,3.200,4.000 
503,3.300,4.000 
504,3.400,4.000 
505,3.500,4.000 
506,3.600,4.000 
507,3.700,4.000 
508,3.800,4.000 
509,3.900,4.000 
510,4.100,4.000 
511,4.200,4.000 
512,4.300,4.000 
513,4.400,4.000 
514,4.500,4.000 
515,4.600,4.000 
516,4.700,4.000 
517,4.800,4.000 
518,4.900,4.000 
519,5.100,4.000 
520,5.200,4.000 
521,5.300,4.000 
522,5.400,4.000 
523,5.500,4.000 
524,5.600,4.000 
525,5.700,4.000 
526,5.800,4.000 
527,5.900,4.000 
528,6.000,4.000 
529,0.000,5.000 
530,0.100,5.000 
531,0.200,5.000 
532,0.300,5.000 
533,0.400,5.000 
534,0.500,5.000 
535,0.600,5.000 
536,0.700,5.000 
537,0.800,5.000 
538,0.900,5.000 
539,1.100,5.000 
540,1.200,5.000 
541,1.300,5.000 
542,1.400,5.000 
543,1.500,5.000 
544,1.600,5.000 
545,1.700,5.000 
546,1.800,5.000 
547,1.900,5.000 
548,2.100,5.000 
549,2.200,5.000 
550,2.300,5.000 
551,2.400,5.000 
552,2.500,5.000 
553,2.600,5.000 
554,2.700,5.000 
555,2.800,5.000 
556,2.900,5.000 
557,3.100,5.000 
558,3.200,5.000 
559,3.300,5.000 
560,3.400,5.000 
561,3.500,5.000 
562,3.600,5.000 
563,3.700,5.000 
564,3.800,5.000 
565,3.900,5.000 
566,4.100,5.000 
567,4.200,5.000 
568,4.300,5.000 
569,4.400,5.000 
570,4.500,5.000 
571,4.600,5.000 
572,4.700,5.000 
573,4.800,5.000 
574,4.900,5.000 
575,5.100,5.000 
576,5.200,5.000 
577,5.300,5.000 
578,5.400,5.000 
579,5.500,5.000 
580,5.600,5.000 
581,5.700,5.000 
582,5.800,5.000 
583,5.900,5.000 
584,6.000,5.000 
