index,x,y,sten
254,5.000,1.000,south
351,5.100,1.000,south
352,5.200,1.000,south
353,5.300,1.000,south
354,5.400,1.000,south
355,5.500,1.000,south
356,5.600,1.000,south
357,5.700,1.000,south
358,5.800,1.000,south
359,5.900,1.000,south
360,6.000,1.000,south
274,5.000,3.000,north
463,5.100,3.000,north
464,5.200,3.000,north
465,5.300,3.000,north
466,5.400,3.000,north
467,5.500,3.000,north
468,5.600,3.000,north
469,5.700,3.000,north
470,5.800,3.000,north
471,5.900,3.000,north
472,6.000,3.000,north
254,5.000,1.000,west
255,5.000,1.100,west
256,5.000,1.200,west
257,5.000,1.300,west
258,5.000,1.400,west
259,5.000,1.500,west
260,5.000,1.600,west
261,5.000,1.700,west
262,5.000,1.800,west
263,5.000,1.900,west
264,5.000,2.000,west
265,5.000,2.100,west
266,5.000,2.200,west
267,5.000,2.300,west
268,5.000,2.400,west
269,5.000,2.500,west
270,5.000,2.600,west
271,5.000,2.700,west
272,5.000,2.800,west
273,5.000,2.900,west
274,5.000,3.000,west
