index,x,y,sten
112,3.000,1.000,south
232,3.100,1.000,south
233,3.200,1.000,south
234,3.300,1.000,south
235,3.400,1.000,south
236,3.500,1.000,south
237,3.600,1.000,south
238,3.700,1.000,south
239,3.800,1.000,south
240,3.900,1.000,south
163,4.000,1.000,south
163,4.000,1.000,east
164,4.000,1.100,east
165,4.000,1.200,east
166,4.000,1.300,east
167,4.000,1.400,east
168,4.000,1.500,east
169,4.000,1.600,east
170,4.000,1.700,east
171,4.000,1.800,east
172,4.000,1.900,east
173,4.000,2.000,east
174,4.000,2.100,east
175,4.000,2.200,east
176,4.000,2.300,east
177,4.000,2.400,east
178,4.000,2.500,east
179,4.000,2.600,east
180,4.000,2.700,east
181,4.000,2.800,east
182,4.000,2.900,east
183,4.000,3.000,east
132,3.000,3.000,north
326,3.100,3.000,north
327,3.200,3.000,north
328,3.300,3.000,north
329,3.400,3.000,north
330,3.500,3.000,north
331,3.600,3.000,north
332,3.700,3.000,north
333,3.800,3.000,north
334,3.900,3.000,north
183,4.000,3.000,north
112,3.000,1.000,west
113,3.000,1.100,west
114,3.000,1.200,west
115,3.000,1.300,west
116,3.000,1.400,west
117,3.000,1.500,west
118,3.000,1.600,west
119,3.000,1.700,west
120,3.000,1.800,west
121,3.000,1.900,west
122,3.000,2.000,west
123,3.000,2.100,west
124,3.000,2.200,west
125,3.000,2.300,west
126,3.000,2.400,west
127,3.000,2.500,west
128,3.000,2.600,west
129,3.000,2.700,west
130,3.000,2.800,west
131,3.000,2.900,west
132,3.000,3.000,west
