Gvar_i,Gvar_j,Gvar_ij
115,3,2.910884e-04
116,3,3.789389e-04
117,3,3.093330e-04
118,3,1.733536e-04
119,3,8.950557e-05
61,4,2.033708e-03
62,4,2.195631e-03
63,4,2.188244e-03
64,4,2.552614e-03
65,4,2.187436e-03
66,4,2.178546e-03
67,4,2.618965e-03
68,4,2.212060e-03
69,4,2.158222e-03
70,4,2.191117e-03
71,4,2.182164e-03
72,4,1.963812e-03
73,4,2.421131e-03
74,4,2.334380e-03
75,4,1.940159e-03
76,4,2.245694e-03
77,4,2.065881e-03
78,4,2.440454e-03
79,4,2.414199e-03
80,4,2.165957e-03
81,4,1.832152e-03
82,4,1.564699e-03
83,4,1.870550e-03
84,4,1.490271e-03
85,4,1.704313e-03
86,4,1.271772e-03
87,4,9.956339e-04
88,4,5.439902e-04
89,4,2.939949e-04
90,4,2.375754e-04
91,4,2.880591e-05
92,4,5.012284e-04
93,4,5.793552e-04
94,4,3.473657e-04
95,4,8.379965e-04
96,4,8.697197e-04
97,4,9.551842e-04
98,4,9.722073e-04
99,4,8.799300e-04
100,4,1.007426e-03
101,4,1.180785e-03
102,4,1.335293e-03
103,4,1.141232e-03
104,4,1.780844e-03
105,4,9.786728e-04
106,4,1.298340e-03
107,4,9.628417e-04
108,4,1.193523e-03
109,4,1.009383e-03
110,4,7.713660e-04
111,4,6.579172e-04
112,4,7.966925e-04
113,4,4.371076e-04
114,4,6.261622e-04
115,4,4.432309e-04
116,4,2.152887e-04
117,4,2.320467e-04
118,4,1.461489e-04
119,4,1.083018e-04
61,5,3.131215e-03
62,5,2.974062e-03
63,5,2.790930e-03
64,5,2.986116e-03
65,5,3.178788e-03
66,5,2.985151e-03
67,5,3.367087e-03
68,5,2.828391e-03
69,5,3.130901e-03
70,5,2.729601e-03
71,5,2.391250e-03
72,5,3.108826e-03
73,5,3.055269e-03
74,5,3.004123e-03
75,5,2.795580e-03
76,5,2.578690e-03
77,5,2.577485e-03
78,5,2.734489e-03
79,5,3.027526e-03
80,5,2.429604e-03
81,5,2.270096e-03
82,5,2.414713e-03
83,5,2.700945e-03
84,5,1.819316e-03
85,5,1.914307e-03
86,5,1.294869e-03
87,5,1.182800e-03
88,5,8.179212e-04
89,5,7.335186e-04
90,5,2.632447e-04
91,5,2.511482e-04
92,5,4.391591e-04
93,5,4.471890e-04
94,5,5.741527e-04
95,5,7.939128e-04
96,5,1.070207e-03
97,5,1.522961e-03
98,5,1.238690e-03
99,5,1.345641e-03
100,5,1.281368e-03
101,5,1.565968e-03
102,5,1.772332e-03
103,5,1.659479e-03
104,5,1.430170e-03
105,5,1.515037e-03
106,5,1.462390e-03
107,5,1.243064e-03
108,5,1.019396e-03
109,5,1.221189e-03
110,5,1.340382e-03
111,5,1.181293e-03
112,5,9.717749e-04
113,5,5.508575e-04
114,5,6.856772e-04
115,5,4.287167e-04
116,5,1.928150e-04
117,5,4.337450e-04
118,5,2.862341e-04
119,5,8.013285e-05
61,6,3.638225e-03
62,6,3.651080e-03
63,6,3.273216e-03
64,6,3.782098e-03
65,6,3.647260e-03
66,6,3.258893e-03
67,6,3.267759e-03
68,6,3.596564e-03
69,6,3.592676e-03
70,6,3.706174e-03
71,6,2.980840e-03
72,6,3.704022e-03
73,6,3.890257e-03
74,6,2.806183e-03
75,6,3.047412e-03
76,6,3.415305e-03
77,6,3.488830e-03
78,6,3.727796e-03
79,6,2.443027e-03
80,6,3.313944e-03
81,6,2.949423e-03
82,6,2.678849e-03
83,6,2.739231e-03
84,6,2.097681e-03
85,6,2.594558e-03
86,6,1.574395e-03
87,6,1.247771e-03
88,6,1.083087e-03
89,6,6.737673e-04
90,6,2.698470e-04
91,6,1.654744e-04
92,6,5.106319e-04
93,6,7.407175e-04
94,6,1.082191e-03
95,6,1.329255e-03
96,6,1.486303e-03
97,6,1.413382e-03
98,6,1.544414e-03
99,6,1.735319e-03
100,6,2.023318e-03
101,6,1.957684e-03
102,6,1.787498e-03
103,6,1.900145e-03
104,6,1.793617e-03
105,6,2.080451e-03
106,6,1.988525e-03
107,6,1.789093e-03
108,6,1.480594e-03
109,6,2.095202e-03
110,6,1.423332e-03
111,6,1.543214e-03
112,6,1.298284e-03
113,6,8.162293e-04
114,6,9.998945e-04
115,6,7.792690e-04
116,6,5.327019e-04
117,6,3.933827e-04
118,6,3.926410e-04
119,6,5.535789e-05
61,7,4.315972e-03
62,7,4.782571e-03
63,7,4.629409e-03
64,7,4.421788e-03
65,7,4.623575e-03
66,7,4.919373e-03
67,7,4.588614e-03
68,7,3.980729e-03
69,7,4.620269e-03
70,7,4.484600e-03
71,7,3.744831e-03
72,7,3.512949e-03
73,7,3.313256e-03
74,7,3.884626e-03
75,7,4.535935e-03
76,7,3.918663e-03
77,7,3.889886e-03
78,7,4.347749e-03
79,7,3.627508e-03
80,7,4.297742e-03
81,7,3.336621e-03
82,7,3.097827e-03
83,7,3.519090e-03
84,7,2.908905e-03
85,7,2.332796e-03
86,7,2.359812e-03
87,7,1.774930e-03
88,7,1.100283e-03
89,7,8.791283e-04
90,7,4.662470e-04
91,7,3.197653e-04
92,7,7.521099e-04
93,7,7.287496e-04
94,7,9.981375e-04
95,7,1.532599e-03
96,7,1.393931e-03
97,7,1.380904e-03
98,7,2.106188e-03
99,7,2.226858e-03
100,7,2.010615e-03
101,7,2.597939e-03
102,7,1.584595e-03
103,7,2.057183e-03
104,7,2.328941e-03
105,7,2.148847e-03
106,7,2.179449e-03
107,7,2.202299e-03
108,7,2.024402e-03
109,7,2.273823e-03
110,7,2.071436e-03
111,7,1.406369e-03
112,7,1.824324e-03
113,7,1.367375e-03
114,7,9.757380e-04
115,7,9.700015e-04
116,7,7.754620e-04
117,7,9.099336e-04
118,7,3.585333e-04
119,7,1.688625e-04
61,8,5.818033e-03
62,8,5.184887e-03
63,8,5.468726e-03
64,8,5.007576e-03
65,8,5.917007e-03
66,8,5.261465e-03
67,8,5.009521e-03
68,8,5.503953e-03
69,8,4.878701e-03
70,8,5.529435e-03
71,8,4.331958e-03
72,8,4.948665e-03
73,8,5.223648e-03
74,8,4.705139e-03
75,8,5.723335e-03
76,8,4.666681e-03
77,8,4.703684e-03
78,8,4.374874e-03
79,8,4.114144e-03
80,8,4.784765e-03
81,8,3.913223e-03
82,8,4.391627e-03
83,8,3.263623e-03
84,8,3.287296e-03
85,8,2.520529e-03
86,8,2.675643e-03
87,8,1.884239e-03
88,8,1.616975e-03
89,8,1.005600e-03
90,8,4.020426e-04
91,8,1.987141e-04
92,8,6.831496e-04
93,8,9.956102e-04
94,8,1.198000e-03
95,8,1.575946e-03
96,8,2.136736e-03
97,8,2.496077e-03
98,8,2.268957e-03
99,8,2.197235e-03
100,8,2.337703e-03
101,8,2.540551e-03
102,8,2.423549e-03
103,8,2.519515e-03
104,8,2.468083e-03
105,8,2.440686e-03
106,8,2.271710e-03
107,8,2.164250e-03
108,8,2.329844e-03
109,8,1.985962e-03
110,8,2.102016e-03
111,8,1.414769e-03
112,8,1.516815e-03
113,8,1.826636e-03
114,8,1.551999e-03
115,8,1.106759e-03
116,8,7.865615e-04
117,8,4.588482e-04
118,8,3.140607e-04
119,8,2.844095e-04
61,9,5.943817e-03
62,9,6.362848e-03
63,9,6.077641e-03
64,9,6.160611e-03
65,9,5.763636e-03
66,9,5.855786e-03
67,9,6.138980e-03
68,9,6.091043e-03
69,9,5.380109e-03
70,9,6.361630e-03
71,9,5.007089e-03
72,9,5.346417e-03
73,9,5.543479e-03
74,9,5.454861e-03
75,9,5.964643e-03
76,9,5.605617e-03
77,9,6.081421e-03
78,9,5.380164e-03
79,9,5.807653e-03
80,9,4.972376e-03
81,9,4.206534e-03
82,9,4.975240e-03
83,9,4.204218e-03
84,9,4.369738e-03
85,9,3.945318e-03
86,9,2.879261e-03
87,9,1.991617e-03
88,9,1.028696e-03
89,9,1.235736e-03
90,9,5.461462e-04
91,9,3.716818e-04
92,9,1.075276e-03
93,9,1.418162e-03
94,9,1.842702e-03
95,9,1.949230e-03
96,9,2.287566e-03
97,9,2.520476e-03
98,9,2.892167e-03
99,9,2.718079e-03
100,9,3.194659e-03
101,9,2.608463e-03
102,9,3.115821e-03
103,9,2.590288e-03
104,9,2.759797e-03
105,9,2.679077e-03
106,9,2.995748e-03
107,9,2.905948e-03
108,9,2.517075e-03
109,9,2.826468e-03
110,9,2.716750e-03
111,9,1.831276e-03
112,9,1.782011e-03
113,9,1.461032e-03
114,9,1.305692e-03
115,9,1.163167e-03
116,9,8.988833e-04
117,9,6.806271e-04
118,9,6.097574e-04
119,9,1.590747e-04
61,10,8.100112e-03
62,10,6.561096e-03
63,10,7.088604e-03
64,10,6.847978e-03
65,10,6.269882e-03
66,10,6.347277e-03
67,10,6.009728e-03
68,10,6.652255e-03
69,10,6.697792e-03
70,10,7.684344e-03
71,10,6.969378e-03
72,10,6.480963e-03
73,10,6.637644e-03
74,10,6.995421e-03
75,10,6.907954e-03
76,10,6.599844e-03
77,10,6.947347e-03
78,10,5.964896e-03
79,10,5.534368e-03
80,10,6.804141e-03
81,10,5.708800e-03
82,10,5.649537e-03
83,10,5.039925e-03
84,10,5.047112e-03
85,10,4.524397e-03
86,10,3.281224e-03
87,10,2.533193e-03
88,10,1.835767e-03
89,10,1.013640e-03
90,10,4.528325e-04
91,10,5.149590e-04
92,10,6.652483e-04
93,10,1.563752e-03
94,10,2.033183e-03
95,10,1.772682e-03
96,10,2.954794e-03
97,10,3.026009e-03
98,10,3.398992e-03
99,10,3.692049e-03
100,10,3.300567e-03
101,10,3.573653e-03
102,10,3.480874e-03
103,10,3.682463e-03
104,10,3.390557e-03
105,10,3.927800e-03
106,10,3.949689e-03
107,10,2.966089e-03
108,10,3.062634e-03
109,10,2.896639e-03
110,10,2.557266e-03
111,10,2.390690e-03
112,10,1.806178e-03
113,10,1.751589e-03
114,10,1.579141e-03
115,10,1.376854e-03
116,10,1.519691e-03
117,10,9.606729e-04
118,10,4.487915e-04
119,10,2.561595e-04
61,11,7.310424e-03
62,11,7.731156e-03
63,11,7.568925e-03
64,11,8.683401e-03
65,11,7.804148e-03
66,11,6.880269e-03
67,11,8.013392e-03
68,11,8.398657e-03
69,11,7.712595e-03
70,11,7.660610e-03
71,11,7.942868e-03
72,11,6.941869e-03
73,11,7.429551e-03
74,11,6.555289e-03
75,11,7.851387e-03
76,11,7.929511e-03
77,11,7.899951e-03
78,11,7.098871e-03
79,11,7.433294e-03
80,11,6.902808e-03
81,11,6.636938e-03
82,11,6.141333e-03
83,11,6.340084e-03
84,11,5.065212e-03
85,11,4.669118e-03
86,11,4.072340e-03
87,11,3.310449e-03
88,11,2.245216e-03
89,11,1.803048e-03
90,11,8.127638e-04
91,11,5.092116e-04
92,11,1.183538e-03
93,11,1.632916e-03
94,11,2.254728e-03
95,11,2.840168e-03
96,11,3.080303e-03
97,11,3.271458e-03
98,11,3.836177e-03
99,11,3.991612e-03
100,11,3.841216e-03
101,11,3.931088e-03
102,11,3.569143e-03
103,11,4.327699e-03
104,11,3.449371e-03
105,11,4.075515e-03
106,11,3.439188e-03
107,11,4.095177e-03
108,11,3.842278e-03
109,11,3.817021e-03
110,11,2.445576e-03
111,11,2.746792e-03
112,11,3.160773e-03
113,11,1.903857e-03
114,11,1.819089e-03
115,11,1.803335e-03
116,11,1.646394e-03
117,11,1.208321e-03
118,11,4.699974e-04
