index,x,y,sten
71,2.000,1.000,south
324,2.100,1.000,south
325,2.200,1.000,south
326,2.300,1.000,south
327,2.400,1.000,south
328,2.500,1.000,south
329,2.600,1.000,south
330,2.700,1.000,south
331,2.800,1.000,south
332,2.900,1.000,south
132,3.000,1.000,south
333,3.100,1.000,south
334,3.200,1.000,south
335,3.300,1.000,south
336,3.400,1.000,south
337,3.500,1.000,south
338,3.600,1.000,south
339,3.700,1.000,south
340,3.800,1.000,south
341,3.900,1.000,south
193,4.000,1.000,south
193,4.000,1.000,east
194,4.000,1.100,east
195,4.000,1.200,east
196,4.000,1.300,east
197,4.000,1.400,east
198,4.000,1.500,east
199,4.000,1.600,east
200,4.000,1.700,east
201,4.000,1.800,east
202,4.000,1.900,east
203,4.000,2.000,east
204,4.000,2.100,east
205,4.000,2.200,east
206,4.000,2.300,east
207,4.000,2.400,east
208,4.000,2.500,east
209,4.000,2.600,east
210,4.000,2.700,east
211,4.000,2.800,east
212,4.000,2.900,east
213,4.000,3.000,east
91,2.000,3.000,north
436,2.100,3.000,north
437,2.200,3.000,north
438,2.300,3.000,north
439,2.400,3.000,north
440,2.500,3.000,north
441,2.600,3.000,north
442,2.700,3.000,north
443,2.800,3.000,north
444,2.900,3.000,north
152,3.000,3.000,north
445,3.100,3.000,north
446,3.200,3.000,north
447,3.300,3.000,north
448,3.400,3.000,north
449,3.500,3.000,north
450,3.600,3.000,north
451,3.700,3.000,north
452,3.800,3.000,north
453,3.900,3.000,north
213,4.000,3.000,north
71,2.000,1.000,west
72,2.000,1.100,west
73,2.000,1.200,west
74,2.000,1.300,west
75,2.000,1.400,west
76,2.000,1.500,west
77,2.000,1.600,west
78,2.000,1.700,west
79,2.000,1.800,west
80,2.000,1.900,west
81,2.000,2.000,west
82,2.000,2.100,west
83,2.000,2.200,west
84,2.000,2.300,west
85,2.000,2.400,west
86,2.000,2.500,west
87,2.000,2.600,west
88,2.000,2.700,west
89,2.000,2.800,west
90,2.000,2.900,west
91,2.000,3.000,west
