index,x,y
40,1.000000,3.999999
41,1.000000,4.100000
42,1.000000,4.200000
43,1.000000,4.300000
44,1.000000,4.400000
45,1.000000,4.500000
46,1.000000,4.599999
47,1.000000,4.699999
48,1.000000,4.799999
49,1.000000,4.899999
50,1.000000,4.999999
50,1.000000,4.999999
51,1.000000,5.100000
52,1.000000,5.200000
53,1.000000,5.300000
54,1.000000,5.400000
55,1.000000,5.500000
56,1.000000,5.599999
57,1.000000,5.699999
58,1.000000,5.799999
59,1.000000,5.899999
60,1.000000,5.999999
529,0.000000,5.000000
530,0.100000,5.000000
531,0.200000,5.000000
532,0.300000,5.000000
533,0.400000,5.000000
534,0.500000,5.000000
535,0.600000,5.000000
536,0.700000,5.000000
537,0.800000,5.000000
538,0.900000,5.000000
50,1.000000,4.999999
50,1.000000,4.999999
539,1.100000,5.000000
540,1.200000,5.000000
541,1.300000,5.000000
542,1.400000,5.000000
543,1.500000,5.000000
544,1.600000,5.000000
545,1.700000,5.000000
546,1.800000,5.000000
547,1.900000,5.000000
111,2.000000,4.999999
