index,x,y,sten
61,2.000,1.000,south
223,2.100,1.000,south
224,2.200,1.000,south
225,2.300,1.000,south
226,2.400,1.000,south
227,2.500,1.000,south
228,2.600,1.000,south
229,2.700,1.000,south
230,2.800,1.000,south
231,2.900,1.000,south
112,3.000,1.000,south
112,3.000,1.000,east
113,3.000,1.100,east
114,3.000,1.200,east
115,3.000,1.300,east
116,3.000,1.400,east
117,3.000,1.500,east
118,3.000,1.600,east
119,3.000,1.700,east
120,3.000,1.800,east
121,3.000,1.900,east
122,3.000,2.000,east
123,3.000,2.100,east
124,3.000,2.200,east
125,3.000,2.300,east
126,3.000,2.400,east
127,3.000,2.500,east
128,3.000,2.600,east
129,3.000,2.700,east
130,3.000,2.800,east
131,3.000,2.900,east
132,3.000,3.000,east
81,2.000,3.000,north
317,2.100,3.000,north
318,2.200,3.000,north
319,2.300,3.000,north
320,2.400,3.000,north
321,2.500,3.000,north
322,2.600,3.000,north
323,2.700,3.000,north
324,2.800,3.000,north
325,2.900,3.000,north
132,3.000,3.000,north
61,2.000,1.000,west
62,2.000,1.100,west
63,2.000,1.200,west
64,2.000,1.300,west
65,2.000,1.400,west
66,2.000,1.500,west
67,2.000,1.600,west
68,2.000,1.700,west
69,2.000,1.800,west
70,2.000,1.900,west
71,2.000,2.000,west
72,2.000,2.100,west
73,2.000,2.200,west
74,2.000,2.300,west
75,2.000,2.400,west
76,2.000,2.500,west
77,2.000,2.600,west
78,2.000,2.700,west
79,2.000,2.800,west
80,2.000,2.900,west
81,2.000,3.000,west
