index,x,y
132,2.999999,3.000000
326,3.100000,3.000000
327,3.200000,3.000000
328,3.300000,3.000000
329,3.400000,3.000000
330,3.500000,3.000000
331,3.599999,3.000000
332,3.699999,3.000000
333,3.799999,3.000000
334,3.899999,3.000000
183,3.999999,3.000000
183,3.999999,3.000000
335,4.100000,3.000000
336,4.200000,3.000000
337,4.300000,3.000000
338,4.400000,3.000000
339,4.500000,3.000000
340,4.599999,3.000000
341,4.699999,3.000000
342,4.799999,3.000000
343,4.899999,3.000000
344,4.999999,3.000000
173,3.999999,2.000000
174,4.000000,2.100000
175,4.000000,2.200000
176,4.000000,2.300000
177,4.000000,2.400000
178,4.000000,2.500000
179,4.000000,2.599999
180,4.000000,2.699999
181,4.000000,2.799999
182,4.000000,2.899999
183,3.999999,3.000000
183,3.999999,3.000000
184,4.000000,3.100000
185,4.000000,3.200000
186,4.000000,3.300000
187,4.000000,3.400000
188,4.000000,3.500000
189,4.000000,3.599999
190,4.000000,3.699999
191,4.000000,3.799999
192,4.000000,3.899999
193,3.999999,4.000000
