Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
384,-1.888889e+01,0.000000e+00,2.975213e+00,2.935542e+00,2.914132e+00,-3.967148e-02,1.333400e-02,2.141000e-02
385,-1.777778e+01,0.000000e+00,2.989043e+00,2.930451e+00,2.877317e+00,-5.859236e-02,1.960238e-02,5.313360e-02
386,-1.666667e+01,0.000000e+00,3.000834e+00,2.957026e+00,2.922059e+00,-4.380815e-02,1.459866e-02,3.496761e-02
387,-1.555556e+01,0.000000e+00,3.010489e+00,2.946202e+00,2.936951e+00,-6.428726e-02,2.135442e-02,9.250949e-03
388,-1.444444e+01,0.000000e+00,3.018043e+00,2.968022e+00,2.925701e+00,-5.002078e-02,1.657391e-02,4.232046e-02
389,-1.333333e+01,0.000000e+00,3.023671e+00,2.968165e+00,2.931064e+00,-5.550503e-02,1.835684e-02,3.710169e-02
390,-1.222222e+01,0.000000e+00,3.027706e+00,2.914888e+00,2.876618e+00,-1.128173e-01,3.726163e-02,3.826992e-02
391,-1.111111e+01,0.000000e+00,3.030665e+00,2.973728e+00,2.929251e+00,-5.693704e-02,1.878698e-02,4.447691e-02
392,-8.888889e+00,0.000000e+00,3.036586e+00,2.956073e+00,2.926426e+00,-8.051361e-02,2.651451e-02,2.964705e-02
393,-7.777778e+00,0.000000e+00,3.041906e+00,2.975039e+00,2.909066e+00,-6.686690e-02,2.198191e-02,6.597269e-02
394,-6.666667e+00,0.000000e+00,3.050959e+00,2.983231e+00,2.922019e+00,-6.772733e-02,2.219870e-02,6.121287e-02
395,-5.555556e+00,0.000000e+00,3.065804e+00,2.984901e+00,2.910543e+00,-8.090248e-02,2.638867e-02,7.435804e-02
396,-4.444444e+00,0.000000e+00,3.088672e+00,3.020738e+00,2.960822e+00,-6.793391e-02,2.199454e-02,5.991571e-02
397,-3.333333e+00,0.000000e+00,3.121532e+00,3.043090e+00,2.959280e+00,-7.844120e-02,2.512907e-02,8.381052e-02
398,-2.222222e+00,0.000000e+00,3.165356e+00,3.102459e+00,3.032084e+00,-6.289730e-02,1.987053e-02,7.037440e-02
399,-1.111111e+00,0.000000e+00,3.219285e+00,3.146670e+00,2.914373e+00,-7.261510e-02,2.255628e-02,2.322976e-01
400,1.111111e+00,0.000000e+00,3.343338e+00,3.274125e+00,3.170168e+00,-6.921270e-02,2.070168e-02,1.039578e-01
401,2.222222e+00,0.000000e+00,3.403674e+00,3.332827e+00,3.225226e+00,-7.084644e-02,2.081470e-02,1.076018e-01
402,3.333333e+00,0.000000e+00,3.457524e+00,3.396240e+00,3.315637e+00,-6.128398e-02,1.772482e-02,8.060290e-02
403,4.444444e+00,0.000000e+00,3.503146e+00,3.429339e+00,3.298931e+00,-7.380651e-02,2.106864e-02,1.304082e-01
404,5.555556e+00,0.000000e+00,3.540442e+00,3.478633e+00,3.421577e+00,-6.180953e-02,1.745814e-02,5.705548e-02
405,6.666667e+00,0.000000e+00,3.570225e+00,3.502211e+00,3.440877e+00,-6.801353e-02,1.905021e-02,6.133383e-02
406,7.777778e+00,0.000000e+00,3.593569e+00,3.526910e+00,3.462383e+00,-6.665879e-02,1.854947e-02,6.452738e-02
407,8.888889e+00,0.000000e+00,3.611441e+00,3.545430e+00,3.506807e+00,-6.601170e-02,1.827849e-02,3.862217e-02
408,1.111111e+01,0.000000e+00,3.633415e+00,3.575128e+00,3.530878e+00,-5.828746e-02,1.604206e-02,4.424986e-02
409,1.222222e+01,0.000000e+00,3.638271e+00,3.577025e+00,3.536057e+00,-6.124631e-02,1.683391e-02,4.096786e-02
410,1.333333e+01,0.000000e+00,3.639271e+00,3.588678e+00,3.545951e+00,-5.059324e-02,1.390203e-02,4.272643e-02
411,1.444444e+01,0.000000e+00,3.636467e+00,3.586878e+00,3.553037e+00,-4.958882e-02,1.363654e-02,3.384126e-02
412,1.555556e+01,0.000000e+00,3.629856e+00,3.571200e+00,3.532592e+00,-5.865595e-02,1.615930e-02,3.860865e-02
413,1.666667e+01,0.000000e+00,3.619406e+00,3.576104e+00,3.537892e+00,-4.330140e-02,1.196368e-02,3.821257e-02
414,1.777778e+01,0.000000e+00,3.605063e+00,3.563730e+00,3.549833e+00,-4.133273e-02,1.146519e-02,1.389695e-02
415,1.888889e+01,0.000000e+00,3.586759e+00,3.540325e+00,3.534886e+00,-4.643411e-02,1.294598e-02,5.438244e-03
416,2.111111e+01,0.000000e+00,3.537888e+00,3.511107e+00,3.493624e+00,-2.678119e-02,7.569825e-03,1.748240e-02
417,2.222222e+01,0.000000e+00,3.507059e+00,3.476005e+00,3.460266e+00,-3.105416e-02,8.854758e-03,1.573961e-02
418,2.333333e+01,0.000000e+00,3.471741e+00,3.446360e+00,3.430137e+00,-2.538114e-02,7.310783e-03,1.622254e-02
419,2.444444e+01,0.000000e+00,3.431736e+00,3.404542e+00,3.383979e+00,-2.719457e-02,7.924435e-03,2.056307e-02
420,2.555556e+01,0.000000e+00,3.386872e+00,3.366384e+00,3.354618e+00,-2.048864e-02,6.049427e-03,1.176592e-02
421,2.666667e+01,0.000000e+00,3.337073e+00,3.329687e+00,3.320215e+00,-7.385899e-03,2.213287e-03,9.471679e-03
422,2.777778e+01,0.000000e+00,3.282462e+00,3.272576e+00,3.268648e+00,-9.886873e-03,3.012029e-03,3.927325e-03
423,2.888889e+01,0.000000e+00,3.223490e+00,3.221707e+00,3.217756e+00,-1.783524e-03,5.532897e-04,3.950372e-03
424,3.000000e+01,0.000000e+00,3.161024e+00,3.161024e+00,3.161024e+00,4.440892e-16,1.404890e-16,4.440892e-16
425,-3.000000e+01,1.000000e+01,2.748816e+00,2.748816e+00,2.748816e+00,4.440892e-16,1.615565e-16,4.440892e-16
426,-2.888889e+01,1.000000e+01,2.734560e+00,2.731314e+00,2.726533e+00,-3.245450e-03,1.186827e-03,4.781791e-03
427,-2.777778e+01,1.000000e+01,2.729879e+00,2.716244e+00,2.708140e+00,-1.363497e-02,4.994716e-03,8.104123e-03
428,-2.666667e+01,1.000000e+01,2.733835e+00,2.727902e+00,2.721331e+00,-5.933229e-03,2.170295e-03,6.570628e-03
429,-2.555556e+01,1.000000e+01,2.744705e+00,2.733578e+00,2.721717e+00,-1.112735e-02,4.054114e-03,1.186052e-02
430,-2.444444e+01,1.000000e+01,2.760595e+00,2.739815e+00,2.729913e+00,-2.078013e-02,7.527411e-03,9.901871e-03
431,-2.333333e+01,1.000000e+01,2.779791e+00,2.761486e+00,2.747210e+00,-1.830540e-02,6.585171e-03,1.427549e-02
432,-2.222222e+01,1.000000e+01,2.800893e+00,2.777134e+00,2.759794e+00,-2.375884e-02,8.482594e-03,1.734011e-02
433,-2.111111e+01,1.000000e+01,2.822821e+00,2.805581e+00,2.787933e+00,-1.724049e-02,6.107540e-03,1.764765e-02
434,-1.888889e+01,1.000000e+01,2.866168e+00,2.835972e+00,2.817337e+00,-3.019616e-02,1.053538e-02,1.863430e-02
435,-1.777778e+01,1.000000e+01,2.886601e+00,2.858979e+00,2.828396e+00,-2.762253e-02,9.569222e-03,3.058279e-02
436,-1.666667e+01,1.000000e+01,2.905810e+00,2.880568e+00,2.841989e+00,-2.524112e-02,8.686433e-03,3.857936e-02
437,-1.555556e+01,1.000000e+01,2.923645e+00,2.883580e+00,2.861319e+00,-4.006496e-02,1.370377e-02,2.226128e-02
438,-1.444444e+01,1.000000e+01,2.940065e+00,2.906917e+00,2.871922e+00,-3.314815e-02,1.127463e-02,3.499438e-02
439,-1.333333e+01,1.000000e+01,2.955122e+00,2.926289e+00,2.892276e+00,-2.883289e-02,9.756921e-03,3.401233e-02
440,-1.222222e+01,1.000000e+01,2.968965e+00,2.924848e+00,2.899023e+00,-4.411706e-02,1.485941e-02,2.582522e-02
441,-1.111111e+01,1.000000e+01,2.981849e+00,2.937238e+00,2.903346e+00,-4.461113e-02,1.496089e-02,3.389190e-02
442,-8.888889e+00,1.000000e+01,3.006329e+00,2.960878e+00,2.916932e+00,-4.545111e-02,1.511848e-02,4.394558e-02
443,-7.777778e+00,1.000000e+01,3.019043e+00,2.973298e+00,2.923292e+00,-4.574534e-02,1.515227e-02,5.000563e-02
444,-6.666667e+00,1.000000e+01,3.033048e+00,2.987886e+00,2.936340e+00,-4.516203e-02,1.488998e-02,5.154590e-02
445,-5.555556e+00,1.000000e+01,3.049221e+00,2.997084e+00,2.981916e+00,-5.213673e-02,1.709837e-02,1.516881e-02
446,-4.444444e+00,1.000000e+01,3.068486e+00,3.002671e+00,2.956040e+00,-6.581505e-02,2.144871e-02,4.663025e-02
447,-3.333333e+00,1.000000e+01,3.091677e+00,3.043642e+00,2.992409e+00,-4.803482e-02,1.553682e-02,5.123244e-02
448,-2.222222e+00,1.000000e+01,3.119341e+00,3.056545e+00,2.996712e+00,-6.279583e-02,2.013112e-02,5.983351e-02
449,-1.111111e+00,1.000000e+01,3.151502e+00,3.101112e+00,3.048794e+00,-5.039013e-02,1.598924e-02,5.231843e-02
450,1.111111e+00,1.000000e+01,3.225830e+00,3.177949e+00,3.105274e+00,-4.788073e-02,1.484292e-02,7.267451e-02
451,2.222222e+00,1.000000e+01,3.264606e+00,3.215904e+00,3.166609e+00,-4.870156e-02,1.491805e-02,4.929502e-02
452,3.333333e+00,1.000000e+01,3.301660e+00,3.253550e+00,3.159050e+00,-4.811029e-02,1.457154e-02,9.450024e-02
453,4.444444e+00,1.000000e+01,3.335069e+00,3.271777e+00,3.220786e+00,-6.329213e-02,1.897776e-02,5.099081e-02
454,5.555556e+00,1.000000e+01,3.363387e+00,3.313383e+00,3.255844e+00,-5.000398e-02,1.486715e-02,5.753891e-02
455,6.666667e+00,1.000000e+01,3.385724e+00,3.334249e+00,3.277572e+00,-5.147480e-02,1.520348e-02,5.667679e-02
456,7.777778e+00,1.000000e+01,3.401657e+00,3.347196e+00,3.290322e+00,-5.446077e-02,1.601007e-02,5.687375e-02
457,8.888889e+00,1.000000e+01,3.411080e+00,3.328534e+00,3.267179e+00,-8.254590e-02,2.419935e-02,6.135459e-02
458,1.111111e+01,1.000000e+01,3.410699e+00,3.363384e+00,3.317685e+00,-4.731511e-02,1.387256e-02,4.569862e-02
459,1.222222e+01,1.000000e+01,3.401123e+00,3.354746e+00,3.301597e+00,-4.637610e-02,1.363553e-02,5.314951e-02
460,1.333333e+01,1.000000e+01,3.385412e+00,3.344923e+00,3.294334e+00,-4.048832e-02,1.195964e-02,5.058944e-02
461,1.444444e+01,1.000000e+01,3.363641e+00,3.310504e+00,3.226374e+00,-5.313670e-02,1.579738e-02,8.412967e-02
462,1.555556e+01,1.000000e+01,3.335915e+00,3.301690e+00,3.261675e+00,-3.422501e-02,1.025956e-02,4.001492e-02
463,1.666667e+01,1.000000e+01,3.302428e+00,3.250236e+00,3.215735e+00,-5.219287e-02,1.580439e-02,3.450104e-02
