Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
46,-2.000000e+01,2.111111e+01,2.638048e+00,2.596915e+00,2.590087e+00,-4.113319e-02,1.559228e-02,6.827786e-03
47,-2.000000e+01,2.222222e+01,2.638560e+00,2.616106e+00,2.596407e+00,-2.245333e-02,8.509693e-03,1.969887e-02
48,-2.000000e+01,2.333333e+01,2.644450e+00,2.619665e+00,2.613077e+00,-2.478500e-02,9.372462e-03,6.588155e-03
49,-2.000000e+01,2.444444e+01,2.654664e+00,2.641650e+00,2.636861e+00,-1.301390e-02,4.902279e-03,4.788726e-03
50,-2.000000e+01,2.555556e+01,2.668001e+00,2.639740e+00,2.635950e+00,-2.826163e-02,1.059281e-02,3.789125e-03
51,-2.000000e+01,2.666667e+01,2.683422e+00,2.659440e+00,2.548739e+00,-2.398224e-02,8.937187e-03,1.107010e-01
52,-2.000000e+01,2.777778e+01,2.700242e+00,2.688276e+00,2.686486e+00,-1.196625e-02,4.431548e-03,1.789545e-03
53,-2.000000e+01,2.888889e+01,2.718165e+00,2.716315e+00,2.714692e+00,-1.849536e-03,6.804357e-04,1.623037e-03
54,-2.000000e+01,3.000000e+01,2.737194e+00,2.737194e+00,2.737194e+00,0.000000e+00,0.000000e+00,0.000000e+00
55,-1.000000e+01,-3.000000e+01,2.554109e+00,2.554109e+00,2.554109e+00,-1.332268e-15,5.216173e-16,8.881784e-16
56,-1.000000e+01,-2.888889e+01,2.593998e+00,2.576000e+00,2.566828e+00,-1.799847e-02,6.938507e-03,9.171716e-03
57,-1.000000e+01,-2.777778e+01,2.641302e+00,2.651692e+00,2.633307e+00,1.038997e-02,3.933653e-03,1.838506e-02
58,-1.000000e+01,-2.666667e+01,2.694414e+00,2.692680e+00,2.669442e+00,-1.733396e-03,6.433295e-04,2.323895e-02
59,-1.000000e+01,-2.555556e+01,2.751570e+00,2.764334e+00,2.705028e+00,1.276449e-02,4.638983e-03,5.930657e-02
60,-1.000000e+01,-2.444444e+01,2.810979e+00,2.816119e+00,2.645737e+00,5.140016e-03,1.828550e-03,1.703815e-01
61,-1.000000e+01,-2.333333e+01,2.870922e+00,2.865746e+00,2.810003e+00,-5.176803e-03,1.803184e-03,5.574258e-02
62,-1.000000e+01,-2.222222e+01,2.929808e+00,2.921630e+00,2.859440e+00,-8.178265e-03,2.791400e-03,6.219028e-02
63,-1.000000e+01,-2.111111e+01,2.986182e+00,2.965057e+00,2.893515e+00,-2.112418e-02,7.073975e-03,7.154270e-02
64,-1.000000e+01,-2.000000e+01,3.038713e+00,3.025048e+00,2.938763e+00,-1.366503e-02,4.496978e-03,8.628502e-02
65,-1.000000e+01,-1.888889e+01,3.086177e+00,3.056681e+00,2.974929e+00,-2.949540e-02,9.557263e-03,8.175219e-02
66,-1.000000e+01,-1.777778e+01,3.127448e+00,3.097036e+00,3.007288e+00,-3.041214e-02,9.724269e-03,8.974756e-02
67,-1.000000e+01,-1.666667e+01,3.161519e+00,3.124172e+00,3.028570e+00,-3.734635e-02,1.181279e-02,9.560207e-02
68,-1.000000e+01,-1.555556e+01,3.187553e+00,3.151857e+00,3.054972e+00,-3.569618e-02,1.119862e-02,9.688476e-02
69,-1.000000e+01,-1.444444e+01,3.204967e+00,3.161576e+00,3.036694e+00,-4.339134e-02,1.353878e-02,1.248814e-01
70,-1.000000e+01,-1.333333e+01,3.213544e+00,3.172636e+00,3.002352e+00,-4.090818e-02,1.272993e-02,1.702840e-01
71,-1.000000e+01,-1.222222e+01,3.213540e+00,3.147720e+00,3.017580e+00,-6.582025e-02,2.048216e-02,1.301401e-01
72,-1.000000e+01,-1.111111e+01,3.205760e+00,3.155282e+00,3.028348e+00,-5.047772e-02,1.574595e-02,1.269341e-01
73,-1.000000e+01,-1.000000e+01,3.191538e+00,3.143882e+00,3.063206e+00,-4.765568e-02,1.493189e-02,8.067609e-02
74,-1.000000e+01,-8.888889e+00,3.172608e+00,3.121348e+00,2.998457e+00,-5.125999e-02,1.615705e-02,1.228917e-01
75,-1.000000e+01,-7.777778e+00,3.150882e+00,3.098315e+00,3.089276e+00,-5.256694e-02,1.668325e-02,9.039386e-03
76,-1.000000e+01,-6.666667e+00,3.128187e+00,3.084574e+00,2.943371e+00,-4.361339e-02,1.394206e-02,1.412024e-01
77,-1.000000e+01,-5.555556e+00,3.106073e+00,3.066824e+00,2.952014e+00,-3.924908e-02,1.263624e-02,1.148101e-01
78,-1.000000e+01,-4.444444e+00,3.085714e+00,2.913423e+00,2.885645e+00,-1.722907e-01,5.583496e-02,2.777752e-02
79,-1.000000e+01,-3.333333e+00,3.067912e+00,3.043624e+00,2.917121e+00,-2.428794e-02,7.916764e-03,1.265035e-01
80,-1.000000e+01,-2.222222e+00,3.053149e+00,3.033064e+00,2.928034e+00,-2.008552e-02,6.578624e-03,1.050298e-01
81,-1.000000e+01,-1.111111e+00,3.041627e+00,3.017150e+00,2.922906e+00,-2.447714e-02,8.047383e-03,9.424394e-02
82,-1.000000e+01,0.000000e+00,3.033287e+00,3.023960e+00,2.936746e+00,-9.326952e-03,3.074866e-03,8.721429e-02
83,-1.000000e+01,1.111111e+00,3.027812e+00,3.013471e+00,2.914884e+00,-1.434136e-02,4.736543e-03,9.858691e-02
