Node_i, Node_x, Node_y,sol_analytic,sol_PDDS,err
342,4.8,3,2.42894,2.46259,0.0138557
343,4.9,3,2.3035,2.30717,0.00159467
344,5,3,2.16722,2.16722,0
345,0,4,4.08936,4.08936,0
346,0.1,4,4.07813,4.086,0.00192985
347,0.2,4,4.04469,4.04431,9.40778e-05
348,0.3,4,3.98981,3.99543,0.00140883
349,0.4,4,3.91469,3.92568,0.0028068
350,0.5,4,3.82105,3.82108,8.29869e-06
351,0.6,4,3.71097,3.71502,0.00109143
352,0.7,4,3.58693,3.57666,0.00286367
353,0.8,4,3.45172,3.46134,0.00278811
354,0.9,4,3.30836,3.31121,0.000859524
355,1.1,4,3.01024,3.01782,0.00251983
356,1.2,4,2.86216,2.83989,0.00778059
357,1.3,4,2.71918,2.73577,0.00610107
358,1.4,4,2.58451,2.53713,0.0183317
359,1.5,4,2.46118,2.46686,0.00230738
360,1.6,4,2.35196,2.35423,0.000963522
361,1.7,4,2.2593,2.2416,0.00783742
362,1.8,4,2.18529,2.17866,0.00303412
363,1.9,4,2.13157,2.1283,0.00153471
364,2.1,4,2.08939,2.07448,0.00713649
365,2.2,4,2.10188,2.11584,0.0066423
366,2.3,4,2.13654,2.10211,0.0161137
367,2.4,4,2.1926,2.18825,0.00198327
368,2.5,4,2.2688,2.27065,0.000818198
369,2.6,4,2.36343,2.35714,0.00266037
370,2.7,4,2.47436,2.53258,0.0235297
371,2.8,4,2.5991,2.6088,0.00373374
372,2.9,4,2.73485,2.76921,0.0125659
373,3.1,4,3.02701,3.02138,0.00186071
374,3.2,4,3.17686,3.18566,0.00276982
375,3.3,4,3.32474,3.31186,0.00387502
376,3.4,4,3.46734,3.52302,0.0160592
377,3.5,4,3.60144,3.65442,0.0147108
378,3.6,4,3.72405,3.75464,0.00821285
379,3.7,4,3.8324,3.8317,0.000184954
380,3.8,4,3.92407,3.90828,0.00402406
381,3.9,4,3.99699,4.01482,0.00446131
382,4.1,4,4.0805,4.09781,0.00424169
383,4.2,4,4.08922,4.10795,0.00458085
384,4.3,4,4.07548,4.11465,0.0096118
385,4.4,4,4.03959,4.05387,0.00353556
386,4.5,4,3.98236,3.95773,0.00618676
387,4.6,4,3.90508,3.87522,0.00764797
388,4.7,4,3.80948,3.79229,0.00451448
389,4.8,4,3.69771,3.6917,0.00162418
390,4.9,4,3.57228,3.57637,0.00114748
391,5,4,3.43599,3.43599,0
